label	method	cutoff	reference	key	label_f1_mean	label_f1_std	label_f1_count
Astrocyte	scvi	0.0	Dissection Angular gyrus AnG	class	0.9834663927517313	0.06690025408697409	1613
Astrocyte	scvi	0.0	Dissection Angular gyrus AnG	subclass	0.9834663927517313	0.06690025408697409	1613
Astrocyte	scvi	0.0	Dissection Anterior cingulate cortex ACC	class	0.9798187413149452	0.07759731273365679	1609
Astrocyte	scvi	0.0	Dissection Anterior cingulate cortex ACC	subclass	0.9798187413149452	0.07759731273365679	1609
Astrocyte	scvi	0.0	Dissection Dorsolateral prefrontal cortex DFC	class	0.8863443796532785	0.19599275822683987	1611
Astrocyte	scvi	0.0	Dissection Dorsolateral prefrontal cortex DFC	subclass	0.8863443796532785	0.19599275822683987	1611
Astrocyte	scvi	0.0	Dissection Primary auditory cortexA1	class	0.9753923828682809	0.08501903601171974	1612
Astrocyte	scvi	0.0	Dissection Primary auditory cortexA1	subclass	0.9753923828682809	0.08501903601171974	1612
Astrocyte	scvi	0.0	Dissection Primary somatosensory cortex S1	class	0.9828256305880677	0.06984944417703516	1612
Astrocyte	scvi	0.0	Dissection Primary somatosensory cortex S1	subclass	0.9828256305880677	0.06984944417703516	1612
Astrocyte	scvi	0.0	Dissection Primary visual cortexV1	class	0.9792934858374773	0.07177381008140817	1614
Astrocyte	scvi	0.0	Dissection Primary visual cortexV1	subclass	0.9792934858374773	0.07177381008140817	1614
Astrocyte	scvi	0.0	Human Multiple Cortical Areas SMART-seq	class	0.9718658178135047	0.07784789315358392	1610
Astrocyte	scvi	0.0	Human Multiple Cortical Areas SMART-seq	subclass	0.9718658178135047	0.07784789315358392	1610
Astrocyte	scvi	0.0	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	class	0.9837836041318616	0.06774256680752042	1608
Astrocyte	scvi	0.0	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	subclass	0.9837836041318616	0.06774256680752042	1608
Astrocyte	scvi	0.0	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	class	0.984536485869452	0.06624993898066486	1612
Astrocyte	scvi	0.0	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	subclass	0.984536485869452	0.06624993898066486	1612
Astrocyte	scvi	0.0	whole cortex	class	0.9857626009029499	0.06031372640239823	1608
Astrocyte	scvi	0.0	whole cortex	subclass	0.9857626009029499	0.06031372640239823	1608
Astrocyte	scvi	0.05	Dissection Angular gyrus AnG	class	0.9832499000962293	0.06828767400354138	1248
Astrocyte	scvi	0.05	Dissection Angular gyrus AnG	subclass	0.9832499000962293	0.06828767400354138	1248
Astrocyte	scvi	0.05	Dissection Anterior cingulate cortex ACC	class	0.9801744046067652	0.07775105145001103	1248
Astrocyte	scvi	0.05	Dissection Anterior cingulate cortex ACC	subclass	0.9801744046067652	0.07775105145001103	1248
Astrocyte	scvi	0.05	Dissection Dorsolateral prefrontal cortex DFC	class	0.9097515598019618	0.17627309694905965	1248
