"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	2.29773279512438	0.339616198066049	6.7656749242494	1.326891706135e-11	1.65861463266876e-11	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	638152.051549948	-1276240.1030999	-1275899.67511885
"fixed"	"cond"	NA	"referenceDissection Angular gyrus AnG"	1.29071756384404	0.0127869415565963	100.940288037699	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	638152.051549948	-1276240.1030999	-1275899.67511885
"fixed"	"cond"	NA	"referenceDissection Anterior cingulate cortex ACC"	1.10025299848795	0.0125639565868167	87.5721744886031	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	638152.051549948	-1276240.1030999	-1275899.67511885
"fixed"	"cond"	NA	"referenceDissection Primary auditory cortexA1"	1.11492295836213	0.0126533082289034	88.1131588824619	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	638152.051549948	-1276240.1030999	-1275899.67511885
"fixed"	"cond"	NA	"referenceDissection Primary somatosensory cortex S1"	1.28946330014169	0.0128011995384098	100.729880529764	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	638152.051549948	-1276240.1030999	-1275899.67511885
"fixed"	"cond"	NA	"referenceDissection Primary visual cortexV1"	0.927296304385553	0.0125073646187165	74.1400233105791	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	638152.051549948	-1276240.1030999	-1275899.67511885
"fixed"	"cond"	NA	"referenceHuman Multiple Cortical Areas SMART-seq"	-0.275287190988391	0.0117056794512329	-23.5174038495815	2.7071795869552e-122	5.075961725541e-122	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	638152.051549948	-1276240.1030999	-1275899.67511885
"fixed"	"cond"	NA	"referencewhole cortex"	1.07071070433067	0.012592639405959	85.0267104308561	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	638152.051549948	-1276240.1030999	-1275899.67511885
"fixed"	"cond"	NA	"referenceWhole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	0.908526590165106	0.0101129553530955	89.8378919360117	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	638152.051549948	-1276240.1030999	-1275899.67511885
"fixed"	"cond"	NA	"referenceWhole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	1.0877931643048	0.0126521910798743	85.9766626537232	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"class"	638152.051549948	-1276240.1030999	-1275899.67511885
