"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	4.14981591975527	0.328441754282498	12.6348610237478	1.35633579874289e-36	3.39083949685722e-36	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"family"	1585306.34628301	-3170548.69256601	-3170204.86315589
"fixed"	"cond"	NA	"referenceDissection Anterior cingulate cortex ACC"	-0.0592534816775716	0.0108226681310409	-5.47494212703653	4.3765461906776e-08	7.72331680707812e-08	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"family"	1585306.34628301	-3170548.69256601	-3170204.86315589
"fixed"	"cond"	NA	"referenceDissection Dorsolateral prefrontal cortex DFC"	-1.49305982252389	0.013651341387553	-109.370924082613	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"family"	1585306.34628301	-3170548.69256601	-3170204.86315589
"fixed"	"cond"	NA	"referenceDissection Primary auditory cortexA1"	-0.00959973983533273	0.0108308688084981	-0.886331466576401	0.37543893754489	0.433198774090258	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"family"	1585306.34628301	-3170548.69256601	-3170204.86315589
"fixed"	"cond"	NA	"referenceDissection Primary somatosensory cortex S1"	-0.00502891744889841	0.0108272353769983	-0.464469208786388	0.642311615090476	0.683570614862423	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"family"	1585306.34628301	-3170548.69256601	-3170204.86315589
"fixed"	"cond"	NA	"referenceDissection Primary visual cortexV1"	-0.0456897245125958	0.0108270508290167	-4.21996028596694	2.44345358828023e-05	3.85808461307404e-05	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"family"	1585306.34628301	-3170548.69256601	-3170204.86315589
"fixed"	"cond"	NA	"referenceHuman Multiple Cortical Areas SMART-seq"	-0.685845840104924	0.0108076725256	-63.4591618575018	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"family"	1585306.34628301	-3170548.69256601	-3170204.86315589
"fixed"	"cond"	NA	"referencewhole cortex"	-0.154311543035358	0.0107817138795706	-14.3123389063171	1.83245174378564e-46	4.99759566486994e-46	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"family"	1585306.34628301	-3170548.69256601	-3170204.86315589
"fixed"	"cond"	NA	"referenceWhole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	-0.10870614679148	0.0138113742173663	-7.87076977863605	3.52465726765418e-15	7.5528370021161e-15	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"family"	1585306.34628301	-3170548.69256601	-3170204.86315589
"fixed"	"cond"	NA	"referenceWhole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	-0.014408538963623	0.0108286060906888	-1.33059960284385	0.183320793260781	0.229150991575976	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"family"	1585306.34628301	-3170548.69256601	-3170204.86315589
"fixed"	"cond"	NA	"methodscvi"	0.0340409637258768	0.0110910136320649	3.06923829103069	0.00214605341128806	0.00292643646993826	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"family"	1585306.34628301	-3170548.69256601	-3170204.86315589
"fixed"	"cond"	NA	"cutoff"	-1.74637244841687	0.0109814598577438	-159.029170168608	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"family"	1585306.34628301	-3170548.69256601	-3170204.86315589
"fixed"	"cond"	NA	"subsample_ref100"	-0.101399341201884	0.0040289897281268	-25.1674360185146	9.1073361394303e-140	3.90314405975584e-139	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"family"	1585306.34628301	-3170548.69256601	-3170204.86315589
"fixed"	"cond"	NA	"subsample_ref50"	-0.210518409256803	0.00402808147225935	-52.262698931639	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"family"	1585306.34628301	-3170548.69256601	-3170204.86315589
