"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.973902464340359	0.00991968003985916	0.945551937098695	0.987683457635098
"scvi"	0	0.975321188163548	0.00939401131653694	0.94843055731777	0.988361895062666
"seurat"	0.05	0.971588866530122	0.0107733078293883	0.94087804783619	0.986574620501115
"scvi"	0.05	0.968196113480208	0.0120175872743718	0.934067252460718	0.984943568880716
"seurat"	0.1	0.969076676216413	0.0116954901435633	0.93583008346488	0.985367457431057
"scvi"	0.1	0.959100206323828	0.015309258079777	0.916057405927923	0.980541008376534
"seurat"	0.15	0.96635004455062	0.0126908316106291	0.93038290537949	0.98405352869493
"scvi"	0.15	0.947543814528232	0.019398182678136	0.893687881210773	0.974883978915082
"seurat"	0.2	0.963392077041957	0.0137640782974299	0.924510527460177	0.982623722190104
"scvi"	0.2	0.932950393985357	0.024412739800951	0.866227559147202	0.967636683153254
"seurat"	0.25	0.96018480533446	0.0149200873478974	0.918186244702826	0.981068209640704
"scvi"	0.25	0.914662696183616	0.0304620434230271	0.832999527411099	0.958387473539694
"seurat"	0.5	0.939703143228112	0.0221136040618996	0.878825034732425	0.971005268596006
"scvi"	0.5	0.744038467092607	0.0743236257727933	0.574971064137683	0.861996083937127
"seurat"	0.75	0.909676463907312	0.032069341172374	0.8241480809498	0.955835896164257
"scvi"	0.75	0.440825484962647	0.0962024607934344	0.268402529482551	0.628810573552529
