"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"female / femaleemale"	1.6602524747692	1.58289715133746	Inf	1	0.531745016942958	0.984104014251387
"female / male"	0.982470347343186	0.00474759094579224	Inf	1	-3.65977245386862	0.00234620772754091
"female / maleale"	1.52877890300625	1.45754341351942	Inf	1	0.445214685485619	0.991879503622127
"female / None"	1.27249158794329	0.75246673458729	Inf	1	0.407514394424759	0.994214979360474
"femaleemale / male"	0.591759604201019	0.564185027354796	Inf	1	-0.550297335207941	0.981933157120066
"femaleemale / maleale"	0.920811097251198	0.00539952610257087	Inf	1	-14.0692450940458	0
"femaleemale / None"	0.766444626513918	0.810686882823706	Inf	1	-0.251476588482572	0.999120191357657
"male / maleale"	1.5560560246326	1.48354159080401	Inf	1	0.463766617602763	0.990512830032218
"male / None"	1.29519592258879	0.765881347184702	Inf	1	0.43742798665364	0.992408913397552
"maleale / None"	0.83235815554559	0.880402375825218	Inf	1	-0.173479133979021	0.999797660072237
