"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC seurat"	1.05901147843382	0.0114976346545574	Inf	1	5.28103247947193	2.37466854444701e-05
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	2.09310847110475	0.0282750138939408	Inf	1	54.679907089482	0
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 seurat"	1.02242134217276	0.0111024022237126	Inf	1	2.04197633924384	0.885336049859183
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 seurat"	1.01276222955487	0.0110061692468856	Inf	1	1.16692032186371	0.999835831805826
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 seurat"	1.07301112761867	0.0116391848535322	Inf	1	6.4964895873482	1.55854842365244e-08
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	2.00673823257243	0.0217725081307113	Inf	1	64.1963025311143	0
"Dissection Angular gyrus AnG seurat / whole cortex seurat"	1.14667423265995	0.0124290716653092	Inf	1	12.6268854641007	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.09086060883032	0.0150380395298747	Inf	1	6.30858846248964	5.33174354666599e-08
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.02996761877493	0.0111814327859673	Inf	1	2.7198865319541	0.413128913101166
"Dissection Angular gyrus AnG seurat / Dissection Angular gyrus AnG scvi"	1.00372773258783	0.0112146077064878	Inf	1	0.333018511510562	1
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC scvi"	1.16845340282712	0.0130753577840334	Inf	1	13.9121233270999	0
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.77735612854428	0.0382358904670309	Inf	1	74.1990758338452	0
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 scvi"	0.964652703995747	0.0107900105191162	Inf	1	-3.21733576532547	0.133260955435082
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 scvi"	0.940498279543022	0.0105672438810383	Inf	1	-5.45982470051289	8.87919723591146e-06
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 scvi"	1.32347717361742	0.014830574886407	Inf	1	25.0105621883352	0
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	2.49489056384137	0.0272888890806364	Inf	1	83.5849668565751	0
"Dissection Angular gyrus AnG seurat / whole cortex scvi"	0.865548290113954	0.00975773417121887	Inf	1	-12.8081317835004	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.97937704000861	0.0135729329072089	Inf	1	-1.5036418276118	0.994957569834762
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD scvi)"	0.942544073806347	0.0106386765807658	Inf	1	-5.24245485252482	2.92332885758473e-05
