"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"female / femaleemale"	2.68926830551495	3.28723131782637	Inf	1	0.809316387196756	0.927872793382064
"female / male"	0.991052882744588	0.00423631754501133	Inf	1	-2.10252697052991	0.218861179684998
"female / maleale"	2.61323563611171	3.19428809228003	Inf	1	0.785854548584495	0.934803297014071
"female / None"	2.31607125260248	1.75583881934691	Inf	1	1.107848924088	0.802507028710165
"femaleemale / male"	0.36852138580305	0.450461452129894	Inf	1	-0.816671170563397	0.925611046294411
"femaleemale / maleale"	0.971727376830599	0.00447009961547812	Inf	1	-6.23456616435712	4.52714832288592e-09
"femaleemale / None"	0.861227289167414	1.16790137697378	Inf	1	-0.110167370752307	0.999966815253414
"male / maleale"	2.63682764220886	3.22311689956475	Inf	1	0.793209279063803	0.932677233405752
"male / None"	2.33698049107978	1.77167808131086	Inf	1	1.11971164368095	0.796208952007354
"maleale / None"	0.886284887821528	1.20188033967156	Inf	1	-0.0890184356442866	0.999985825768066
