"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	3.36866562934421	0.31991896416498	10.5297466129798	6.30038453343132e-26	9.00054933347332e-26	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"subclass"	635585.127590965	-1271106.25518193	-1270762.42577181
"fixed"	"cond"	NA	"referenceDissection Anterior cingulate cortex ACC"	-0.15496901851754	0.00971649434002247	-15.9490669262492	2.8918527310497e-57	5.42222387071818e-57	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"subclass"	635585.127590965	-1271106.25518193	-1270762.42577181
"fixed"	"cond"	NA	"referenceDissection Dorsolateral prefrontal cortex DFC"	-1.15384768087037	0.0118190874273441	-97.6257843901616	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"subclass"	635585.127590965	-1271106.25518193	-1270762.42577181
"fixed"	"cond"	NA	"referenceDissection Primary auditory cortexA1"	-0.146545181490578	0.00971467276266659	-15.0849323565226	2.03483071278717e-51	3.39138452131195e-51	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"subclass"	635585.127590965	-1271106.25518193	-1270762.42577181
"fixed"	"cond"	NA	"referenceDissection Primary somatosensory cortex S1"	-0.0230935355421792	0.00980877747473935	-2.35437449790784	0.0185539078583181	0.0214083552211363	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"subclass"	635585.127590965	-1271106.25518193	-1270762.42577181
"fixed"	"cond"	NA	"referenceDissection Primary visual cortexV1"	-0.292780797669004	0.00960971551022758	-30.4671660006374	7.0974926360359e-204	2.36583087867863e-203	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"subclass"	635585.127590965	-1271106.25518193	-1270762.42577181
"fixed"	"cond"	NA	"referenceHuman Multiple Cortical Areas SMART-seq"	-1.45016526137066	0.00894464914450578	-162.126567285361	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"subclass"	635585.127590965	-1271106.25518193	-1270762.42577181
"fixed"	"cond"	NA	"referencewhole cortex"	-0.183146163969602	0.00965794497079303	-18.9632643925246	3.43168868627905e-80	7.35361861345511e-80	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"subclass"	635585.127590965	-1271106.25518193	-1270762.42577181
"fixed"	"cond"	NA	"referenceWhole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	-0.330676107118772	0.0121560450128663	-27.2026063385562	6.04978879202349e-163	1.81493663760705e-162	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"subclass"	635585.127590965	-1271106.25518193	-1270762.42577181
"fixed"	"cond"	NA	"referenceWhole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	-0.156807274388765	0.00971440137591811	-16.1417331156903	1.2984356678527e-58	2.59687133570541e-58	"weighted_f1 ~ reference + method + cutoff + subsample_ref + disease_state + sex + region_match + method:cutoff + reference:method + (1 | study )"	"subclass"	635585.127590965	-1271106.25518193	-1270762.42577181
