label	key	reference	method	subsample_ref	mean_rank	median_rank	mean_norm_rank	n_studies	n_wins	mean_f1_across_studies	std_f1_across_studies	mean_support	total_samples	win_fraction
Astrocyte	class	Single-nucleus transcriptome data from the dlPFC	seurat	500	12.8125	10.5	0.18173076923076922	16	11	0.9780759429227095	0.04345465249749698	5.588300017279261	1015	0.6875
Astrocyte	family	Single-nucleus transcriptome data from the dlPFC	seurat	500	15.03125	13.25	0.21586538461538463	16	12	0.9788318008214245	0.04246852214997751	5.588300017279261	1015	0.75
Astrocyte	subclass	Single-nucleus transcriptome data from the dlPFC	seurat	500	12.8125	10.5	0.18173076923076922	16	11	0.9780759429227095	0.04345465249749698	5.588300017279261	1015	0.6875
Chandelier	class	Dissection Angular gyrus AnG	scvi_rf	100	25.4	30.5	0.4135593220338983	10	7	0.981822425940073	0.03612186328522067	1.1218869365928188	204	0.7
Chandelier	subclass	Dissection Angular gyrus AnG	scvi_rf	100	25.3	30.5	0.41186440677966096	10	7	0.981822425940073	0.03612186328522067	1.1218869365928188	204	0.7
Endothelial	subclass	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	scvi_rf	100	16.642857142857142	21.25	0.24065934065934066	14	7	0.8670470375804202	0.25336131517272004	1.685776880271759	289	0.5
GABAergic	family	Dissection Primary visual cortexV1	seurat	100	17.1875	12.75	0.24903846153846154	16	5	0.9716778430902988	0.06497380513252406	8.00676953975703	1087	0.3125
GABAergic	global	Dissection Primary visual cortexV1	seurat	100	17.1875	12.75	0.24903846153846154	16	5	0.9716778430902988	0.06497380513252406	8.00676953975703	1087	0.3125
Glutamatergic	family	Dissection Primary somatosensory cortex S1	seurat	500	14.21875	15.5	0.20336538461538461	16	7	0.9756056571831723	0.05023246848909677	20.3638255438186	1111	0.4375
Glutamatergic	global	Dissection Primary somatosensory cortex S1	seurat	500	14.21875	15.5	0.20336538461538461	16	7	0.9756056571831723	0.05023246848909677	20.3638255438186	1111	0.4375
Immune	class	Single-nucleus transcriptome data from the dlPFC	scvi_knn	500	4.611111111111111	5.0	0.3282828282828283	9	2	0.7222376251042065	0.23712041258091077	1.1610985632724764	61	0.2222222222222222
Immune	family	Single-nucleus transcriptome data from the dlPFC	scvi_knn	500	4.722222222222222	5.0	0.3383838383838384	9	2	0.7254122282788097	0.23301475203615804	1.1610985632724764	61	0.2222222222222222
L2/3-6 IT	class	Dissection Angular gyrus AnG	seurat	500	12.76923076923077	13.0	0.18106508875739646	13	2	0.954552082371163	0.06892428259753636	17.487360766394843	1021	0.15384615384615385
L2/3-6 IT	subclass	Dissection Primary auditory cortexA1	seurat	500	12.153846153846153	11.0	0.1715976331360947	13	2	0.9552703213754336	0.06784881341710167	17.487360766394843	1021	0.15384615384615385
L5 ET	subclass	Dissection Anterior cingulate cortex ACC	scvi_knn	100	18.5	17.5	0.2692307692307692	11	6	0.6751727469259937	0.40701472830325325	1.8674045651318378	157	0.5454545454545454
L5/6 NP	subclass	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	seurat	500	24.458333333333332	31.5	0.36089743589743595	12	12	0.8312192437192437	0.33496914780324594	1.4098620823620822	342	1.0
L6 CT	subclass	whole cortex	scvi_knn	500	16.59090909090909	10.5	0.23986013986013985	11	1	0.8178691553780939	0.2772839435533416	1.4451763550883785	415	0.09090909090909091
L6b	subclass	Dissection Angular gyrus AnG	seurat	500	18.59090909090909	12.0	0.27062937062937065	11	4	0.8506612404915692	0.14342798651446198	1.384934823753456	404	0.36363636363636365
LAMP5	class	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	seurat	100	7.3	7.25	0.09692307692307693	10	3	0.9512649335534518	0.052645277759326696	1.7879067840694411	646	0.3
LAMP5	subclass	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	seurat	100	7.3	7.25	0.09692307692307693	10	3	0.9512649335534518	0.052645277759326696	1.7879067840694411	646	0.3
Microglia	class	Dissection Angular gyrus AnG	scvi_rf	500	12.03125	12.25	0.16971153846153847	16	6	0.9555089785884665	0.042585856838263686	2.742660932981272	771	0.375
Microglia	family	Dissection Angular gyrus AnG	scvi_rf	500	12.375	12.25	0.17500000000000002	16	6	0.9556234474529354	0.04252469270975055	2.742660932981272	771	0.375
Microglia	subclass	Dissection Angular gyrus AnG	scvi_rf	500	12.03125	12.25	0.16971153846153847	16	6	0.9555089785884665	0.042585856838263686	2.742660932981272	771	0.375
Non-neuron	global	Dissection Angular gyrus AnG	seurat	100	14.294117647058824	14.0	0.20452488687782805	17	6	0.9803151997155214	0.04044297250998306	23.80842339147121	1118	0.35294117647058826
OPC	class	Dissection Primary somatosensory cortex S1	scvi_rf	500	21.34375	23.0	0.31298076923076923	16	10	0.9164571303509624	0.22027759967006338	3.481878787956467	892	0.625
OPC	family	Dissection Primary somatosensory cortex S1	scvi_rf	500	21.875	23.0	0.3211538461538462	16	11	0.9165459087600534	0.22031094862271555	3.481878787956467	892	0.6875
OPC	subclass	Dissection Primary somatosensory cortex S1	scvi_rf	500	21.34375	23.0	0.31298076923076923	16	10	0.9164571303509624	0.22027759967006338	3.481878787956467	892	0.625
Oligodendrocyte	class	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	scvi_rf	500	20.38235294117647	18.0	0.2981900452488688	17	6	0.9256724960679994	0.18240799967923424	13.478734617380344	1083	0.35294117647058826
Oligodendrocyte	family	Single-nucleus transcriptome data from the dlPFC	scvi_knn	100	18.735294117647058	22.0	0.2728506787330317	17	7	0.9632110562179366	0.07969303679709513	13.478734617380344	1083	0.4117647058823529
Oligodendrocyte	subclass	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	scvi_rf	500	20.38235294117647	18.0	0.2981900452488688	17	6	0.9256724960679994	0.18240799967923424	13.478734617380344	1083	0.35294117647058826
PAX6	class	Dissection Primary somatosensory cortex S1	seurat	500	17.6875	17.75	0.2828389830508474	8	6	0.9266134085213033	0.11248953492934989	1.146355946684894	110	0.75
PAX6	subclass	Dissection Primary somatosensory cortex S1	seurat	500	17.6875	17.75	0.2828389830508474	8	6	0.9266134085213033	0.11248953492934989	1.146355946684894	110	0.75
PVALB	class	Dissection Anterior cingulate cortex ACC	seurat	100	16.192307692307693	14.5	0.2337278106508876	13	3	0.8728261412380852	0.14062233700729548	2.3730777805693792	793	0.23076923076923078
PVALB	subclass	Dissection Anterior cingulate cortex ACC	seurat	100	16.192307692307693	14.5	0.2337278106508876	13	3	0.8728261412380852	0.14062233700729548	2.3730777805693792	793	0.23076923076923078
Pericyte	subclass	Single-nucleus transcriptome data from the dlPFC	scvi_knn	100	2.888888888888889	2.5	0.1111111111111111	9	6	0.940382894972267	0.0723827950605994	1.1770339697875931	113	0.6666666666666666
SMC	subclass	Single-nucleus transcriptome data from the dlPFC	seurat	500	4.071428571428571	4.0	0.2792207792207792	7	4	0.8646825396825397	0.15203281577445843	1.0404761904761906	41	0.5714285714285714
SNCG	class	Dissection Anterior cingulate cortex ACC	seurat	500	14.833333333333334	11.0	0.2610062893081761	9	4	0.8615722517510196	0.14314813760902556	1.2037360756832705	213	0.4444444444444444
SNCG	subclass	Dissection Anterior cingulate cortex ACC	seurat	500	14.833333333333334	11.0	0.2610062893081761	9	4	0.8615722517510196	0.14314813760902556	1.2037360756832705	213	0.4444444444444444
SST	class	whole cortex	seurat	100	17.23076923076923	10.0	0.24970414201183433	13	5	0.9197527752224216	0.14360298579598682	2.16202783090141	659	0.38461538461538464
SST	subclass	whole cortex	seurat	100	17.23076923076923	10.0	0.24970414201183433	13	5	0.9197527752224216	0.14360298579598682	2.16202783090141	659	0.38461538461538464
T Cell	subclass	whole cortex	scvi_rf	500	3.25	3.25	0.20454545454545456	2	2	0.9521739130434783	0.06763630080914806	1.0869565217391304	27	1.0
VIP	class	Dissection Dorsolateral prefrontal cortex DFC	seurat	500	14.416666666666666	10.25	0.20641025641025643	12	5	0.9438670073032517	0.05136120067357579	2.5145926436205808	729	0.4166666666666667
VIP	subclass	Dissection Dorsolateral prefrontal cortex DFC	seurat	500	14.416666666666666	10.25	0.20641025641025643	12	5	0.9438670073032517	0.05136120067357579	2.5145926436205808	729	0.4166666666666667
VLMC	subclass	Single-nucleus transcriptome data from the dlPFC	scvi_knn	100	14.75	14.0	0.21153846153846154	6	4	0.9796296296296295	0.031752644813856035	1.0888888888888888	38	0.6666666666666666
