"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"None control / female disease"	0.769944513403776	0.948521333112344	Inf	1	-0.212216471799162	0.975478466918061	"class"
"None control / male disease"	0.756946746072105	0.932507144916826	Inf	1	-0.226037077648295	0.972227084719333	"class"
"female disease / male disease"	0.983118566201336	0.00503555634796416	Inf	1	-3.32398896596288	0.00255521051308616	"class"
"None control / female disease"	0.583609514821121	0.768194788161111	Inf	1	-0.409124409940525	0.911876797328759	"family"
"None control / male disease"	0.549500127630977	0.723295234466389	Inf	1	-0.454878088065826	0.892233015296446	"family"
"female disease / male disease"	0.941554436101681	0.00714358068681025	Inf	1	-7.93766357484887	4.77395900588817e-14	"family"
"None control / female disease"	0.862453609088183	0.598987621404707	Inf	1	-0.213060562764685	0.975285464068425	"global"
"None control / male disease"	0.798290546442432	0.554420722561572	Inf	1	-0.32437642760435	0.943651853215271	"global"
"female disease / male disease"	0.925604041806276	0.00663627934674072	Inf	1	-10.7827406235484	2.91988655476416e-14	"global"
"None control / female disease"	0.672434953679583	0.78753183917018	Inf	1	-0.338850733031923	0.938672960581916	"subclass"
"None control / male disease"	0.632704131833505	0.740999089592349	Inf	1	-0.390853135212358	0.919249901873771	"subclass"
"female disease / male disease"	0.940914996121678	0.0048185744376746	Inf	1	-11.8923251440235	0	"subclass"
