"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC seurat"	1.18266718655169	0.0121281901077561	Inf	1	16.3601239893034	0
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC seurat"	3.13632729225349	0.038478734195808	Inf	1	93.1679981610602	0
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 seurat"	1.17491540757012	0.0120459440135374	Inf	1	15.7224574315956	0
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 seurat"	1.02545203936435	0.0106189033484321	Inf	1	2.42710834818759	0.640780035889859
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 seurat"	1.37718180358001	0.0139605659338089	Inf	1	31.5712285260959	0
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq seurat)"	4.08082249254041	0.0386232774061884	Inf	1	148.585391449475	0
"Dissection Angular gyrus AnG seurat / whole cortex seurat"	1.21150240080005	0.0123489933697948	Inf	1	18.8226156976232	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / DLPFC Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.38318584991144	0.0174586929043333	Inf	1	25.7001406399568	0
"Dissection Angular gyrus AnG seurat / (Whole Taxonomy / MTG Seattle Alzheimers Disease Atlas SEA-AD seurat)"	1.19530176378749	0.0122519420664348	Inf	1	17.4046082106727	0
"Dissection Angular gyrus AnG seurat / Dissection Angular gyrus AnG scvi"	0.875079395434172	0.00898889999827262	Inf	1	-12.9905963260966	0
"Dissection Angular gyrus AnG seurat / Dissection Anterior cingulate cortex ACC scvi"	1.06761052160572	0.0109305089412938	Inf	1	6.3900296864531	3.1421157564715e-08
"Dissection Angular gyrus AnG seurat / Dissection Dorsolateral prefrontal cortex DFC scvi"	2.35628494947489	0.0286243167862049	Inf	1	70.5532760761451	0
"Dissection Angular gyrus AnG seurat / Dissection Primary auditory cortexA1 scvi"	0.924001454170458	0.00951964464725238	Inf	1	-7.67198640910959	3.33277849762226e-12
"Dissection Angular gyrus AnG seurat / Dissection Primary somatosensory cortex S1 scvi"	0.900605019553309	0.00933152231420563	Inf	1	-10.1037090435408	2.1005419625908e-13
"Dissection Angular gyrus AnG seurat / Dissection Primary visual cortexV1 scvi"	1.20608704599629	0.0122792642218828	Inf	1	18.4048589652251	0
"Dissection Angular gyrus AnG seurat / (Human Multiple Cortical Areas SMART-seq scvi)"	2.34171346175568	0.0229977744542547	Inf	1	86.639860249734	0
