"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"female False / femaleemale False"	2.67311327162451	3.27280410082639	Inf	1	0.803079562172667	0.929757326056934
"female False / male False"	0.991590721800594	0.00423662178865721	Inf	1	-1.97653250789759	0.277463646714047
"female False / maleale False"	2.59401725046348	3.1759590141119	Inf	1	0.778548243067448	0.93687350848911
"female False / None False"	2.30427360896907	1.74973892842104	Inf	1	1.09932290828887	0.806979059402043
"femaleemale False / male False"	0.370949758218807	0.454168019945233	Inf	1	-0.80997923257287	0.927670704732005
"femaleemale False / maleale False"	0.970410523938269	0.00446297176142047	Inf	1	-6.53092294888346	6.53454623744665e-10
"femaleemale False / None False"	0.862018693120595	1.17087778068047	Inf	1	-0.109312083539068	0.999967831021758
"male False / maleale False"	2.61601605726312	3.20288424730161	Inf	1	0.785447857232445	0.934919626411032
"male False / None False"	2.32381521761804	1.76456560547297	Inf	1	1.11045176194848	0.801132654772506
"maleale False / None False"	0.888303116934695	1.20657846005307	Inf	1	-0.0871991503916049	0.999986947501435
