study	key	metric	mean	std
GSE124952	class	macro_f1	0.6973676099566206	0.0844687222811498
GSE124952	class	macro_precision	0.9417009197453975	0.04834019136320412
GSE124952	class	macro_recall	0.7006462585034013	0.0646535870394916
GSE124952	class	micro_f1	0.8833333333333333	0.07118052168020876
GSE124952	class	micro_precision	0.8833333333333333	0.07118052168020876
GSE124952	class	micro_recall	0.8833333333333333	0.07118052168020876
GSE124952	class	overall_accuracy	0.8833333333333333	0.07118052168020876
GSE124952	class	weighted_f1	0.8739773808195008	0.08158135465930111
GSE124952	class	weighted_precision	0.96263637667778	0.0232468247295567
GSE124952	class	weighted_recall	0.8833333333333333	0.07118052168020876
GSE124952	family	macro_f1	0.809949288703976	0.06622800963040167
GSE124952	family	macro_precision	0.9501394790050354	0.03951205414169478
GSE124952	family	macro_recall	0.8076700680272109	0.06389444602672521
GSE124952	family	micro_f1	0.9406666666666667	0.04382867076415139
GSE124952	family	micro_precision	0.9406666666666667	0.04382867076415139
GSE124952	family	micro_recall	0.9406666666666667	0.04382867076415139
GSE124952	family	overall_accuracy	0.9406666666666667	0.04382867076415139
GSE124952	family	weighted_f1	0.9313353176148458	0.05115542567122058
GSE124952	family	weighted_precision	0.9621069410810758	0.022272776549351905
GSE124952	family	weighted_recall	0.9406666666666667	0.04382867076415139
GSE124952	global	macro_f1	0.9769932070815515	0.023316715911999533
GSE124952	global	macro_precision	0.9883311363620801	0.011313533454637346
GSE124952	global	macro_recall	0.9675107392903685	0.034032872690552836
GSE124952	global	micro_f1	0.974	0.021313979316066604
GSE124952	global	micro_precision	0.974	0.021313979316066604
GSE124952	global	micro_recall	0.974	0.021313979316066604
GSE124952	global	overall_accuracy	0.974	0.021313979316066604
GSE124952	global	weighted_f1	0.9795625099033857	0.017928176479950677
GSE124952	global	weighted_precision	0.9863020675990374	0.01408399469531844
GSE124952	global	weighted_recall	0.974	0.021313979316066604
GSE124952	subclass	macro_f1	0.6958671025144658	0.08464564417310003
GSE124952	subclass	macro_precision	0.9456309142656095	0.0516136418566603
GSE124952	subclass	macro_recall	0.6947894451227784	0.06173863679933927
GSE124952	subclass	micro_f1	0.8773333333333333	0.07245359762995768
GSE124952	subclass	micro_precision	0.8773333333333333	0.07245359762995768
GSE124952	subclass	micro_recall	0.8773333333333333	0.07245359762995768
GSE124952	subclass	overall_accuracy	0.8773333333333333	0.07245359762995768
GSE124952	subclass	weighted_f1	0.8724257008099507	0.08353003994910056
GSE124952	subclass	weighted_precision	0.9658939552688979	0.024293613801810672
GSE124952	subclass	weighted_recall	0.8773333333333333	0.07245359762995768
GSE181021.2	class	macro_f1	0.6508223615574628	0.030183177097286844
GSE181021.2	class	macro_precision	0.913251240301791	0.04594313107853432
GSE181021.2	class	macro_recall	0.6714285714285715	0.03708990935094576
GSE181021.2	class	micro_f1	0.8	0.05099019513592784
GSE181021.2	class	micro_precision	0.8	0.05099019513592784
GSE181021.2	class	micro_recall	0.8	0.05099019513592784
GSE181021.2	class	overall_accuracy	0.8	0.05099019513592784
GSE181021.2	class	weighted_f1	0.7560326381712553	0.05119838487927657
GSE181021.2	class	weighted_precision	0.8980442397212757	0.015467906371174968
GSE181021.2	class	weighted_recall	0.8	0.05099019513592784
GSE181021.2	family	macro_f1	0.7912985520336532	0.03151071797717065
GSE181021.2	family	macro_precision	0.9277093669181592	0.03828594256544531
GSE181021.2	family	macro_recall	0.8098214285714286	0.042373539123352004
GSE181021.2	family	micro_f1	0.8375	0.061846584384264915
GSE181021.2	family	micro_precision	0.8375	0.061846584384264915
GSE181021.2	family	micro_recall	0.8375	0.061846584384264915
GSE181021.2	family	overall_accuracy	0.8375	0.061846584384264915
GSE181021.2	family	weighted_f1	0.794699304837922	0.06220070916119732
GSE181021.2	family	weighted_precision	0.902785322051729	0.014717633438063357
GSE181021.2	family	weighted_recall	0.8375	0.061846584384264915
GSE181021.2	global	macro_f1	0.9772609819121447	0.019915761185056398
GSE181021.2	global	macro_precision	0.9975	0.005000000000000023
