"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	1.16406572947626	0.338103454965953	3.44292763761755	0.000575453267360383	0.000732395067549578	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	3815.57747136621	-7595.15494273243	-7466.83840783958
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.495025424804497	0.0228120495508677	-21.7001731344069	2.04391809707402e-104	9.53828445301208e-104	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	3815.57747136621	-7595.15494273243	-7466.83840783958
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.697893244646302	0.0225875167841819	-30.8972983313968	1.29856195429034e-209	9.08993368003237e-209	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	3815.57747136621	-7595.15494273243	-7466.83840783958
"fixed"	"cond"	NA	"referencewhole cortex"	-0.452166634645319	0.0228171208481451	-19.8169890782727	2.12445158483244e-87	7.43558054691353e-87	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	3815.57747136621	-7595.15494273243	-7466.83840783958
"fixed"	"cond"	NA	"methodscvi"	-0.165649183042153	0.0263731717925546	-6.28097311711734	3.36460323563481e-10	4.71044452988873e-10	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	3815.57747136621	-7595.15494273243	-7466.83840783958
"fixed"	"cond"	NA	"cutoff"	-0.38773453406314	0.0329637739718516	-11.7624436569136	6.09444627018213e-32	1.21888925403643e-31	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	3815.57747136621	-7595.15494273243	-7466.83840783958
"fixed"	"cond"	NA	"subsample_ref100"	-0.0397464672067262	0.0137617439165326	-2.88818535265556	0.00387471472247935	0.00452050050955925	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	3815.57747136621	-7595.15494273243	-7466.83840783958
"fixed"	"cond"	NA	"subsample_ref50"	-0.11644711970704	0.0137437341001315	-8.47274247731013	2.39682067816118e-17	4.19443618678206e-17	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	3815.57747136621	-7595.15494273243	-7466.83840783958
"fixed"	"cond"	NA	"treatment_statetreatment"	-0.0372318391408823	0.0212818634514992	-1.74946330361214	0.0802109666778037	0.0802109666778037	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	3815.57747136621	-7595.15494273243	-7466.83840783958
"fixed"	"cond"	NA	"sexNone"	1.23971387709645	0.584579100667314	2.12069483100111	0.0339474917998111	0.0365588373228735	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	3815.57747136621	-7595.15494273243	-7466.83840783958
"fixed"	"cond"	NA	"methodscvi:cutoff"	-2.52902978148748	0.0489091152179569	-51.708761653471	0	0	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	3815.57747136621	-7595.15494273243	-7466.83840783958
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x:methodscvi"	0.392216427519749	0.0323725629672628	12.1157051394535	8.72108453839135e-34	2.03491972562465e-33	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	3815.57747136621	-7595.15494273243	-7466.83840783958
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4:methodscvi"	0.201708937784333	0.0320348315142234	6.29655060601068	3.04341952278179e-10	4.71044452988873e-10	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	3815.57747136621	-7595.15494273243	-7466.83840783958
"fixed"	"cond"	NA	"referencewhole cortex:methodscvi"	0.474505961591529	0.0323985750387857	14.6458898585348	1.43115192547443e-48	4.00722539132841e-48	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	3815.57747136621	-7595.15494273243	-7466.83840783958
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.67441120458113	NA	NA	NA	NA	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	3815.57747136621	-7595.15494273243	-7466.83840783958
"fixed"	"cond"	NA	"(Intercept)"	1.28888101817756	0.212185500323368	6.07431241160836	1.24520100665849e-09	1.93697934369098e-09	"macro_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	11464.1551199129	-22892.3102398258	-22757.4614060466
