"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"subsample_ref500 / subsample_ref100"	1.03422638818664	0.0121065185650656	Inf	1	2.87494216379751	0.011268037120362	"class"
"subsample_ref500 / subsample_ref50"	1.12261659996838	0.0131251748273931	Inf	1	9.89276860632219	2.72004641033163e-14	"class"
"subsample_ref100 / subsample_ref50"	1.08546505174434	0.012645444272204	Inf	1	7.03948190992748	5.81124037779546e-12	"class"
"subsample_ref500 / subsample_ref100"	0.999231045903506	0.0106331967282947	Inf	1	-0.0722885502003904	0.99712313465435	"family"
"subsample_ref500 / subsample_ref50"	1.10810308357255	0.0116878876131393	Inf	1	9.73198612925359	3.45279360658424e-14	"family"
"subsample_ref100 / subsample_ref50"	1.10895581969294	0.0116473595447313	Inf	1	9.8466057371532	2.93098878501041e-14	"family"
"subsample_ref500 / subsample_ref100"	1.08116718872885	0.0208069308881321	Inf	1	4.05516662454043	0.000148171664555385	"global"
"subsample_ref500 / subsample_ref50"	1.29182210507756	0.0247757461092381	Inf	1	13.3507921998515	0	"global"
"subsample_ref100 / subsample_ref50"	1.19484027867732	0.0229006003878195	Inf	1	9.28781444760012	3.14193115968919e-14	"global"
"subsample_ref500 / subsample_ref100"	1.01220658475482	0.00983474234429066	Inf	1	1.24871434203495	0.424474764854857	"subclass"
"subsample_ref500 / subsample_ref50"	1.09113339735365	0.0105680779394055	Inf	1	9.00498174143357	1.98729921407903e-14	"subclass"
"subsample_ref100 / subsample_ref50"	1.0779750041025	0.0104156002523488	Inf	1	7.77093786180315	4.08562073062058e-14	"subclass"
