effect	component	term	estimate	std.error	statistic	p.value	FDR	key	formula	LogLik	AIC	BIC
fixed	cond	(Intercept)	0.4204681153771707	0.011543749976519252	36.42387579707032	1.7834411917885555e-290	4.4586029794713886e-290	subclass	macro_f1 ~ ref_type * query_type + cutoff	3820.365605153508	-7624.731210307016	-7564.798395294016
fixed	cond	ref_typecell_and_nucleus	0.29356364479845637	0.013396173942201408	21.913991716220934	1.9107867659268837e-106	3.1846446098781395e-106	subclass	macro_f1 ~ ref_type * query_type + cutoff	3820.365605153508	-7624.731210307016	-7564.798395294016
fixed	cond	query_typesingle-nucleus	0.2486652236919389	0.02999297706465082	8.29078164384726	1.1250665628944252e-16	1.4063332036180314e-16	subclass	macro_f1 ~ ref_type * query_type + cutoff	3820.365605153508	-7624.731210307016	-7564.798395294016
fixed	cond	cutoff	-1.536726070172625	0.027377982859478903	-56.129996065089	0	0	subclass	macro_f1 ~ ref_type * query_type + cutoff	3820.365605153508	-7624.731210307016	-7564.798395294016
fixed	cond	ref_typecell_and_nucleus:query_typesingle-nucleus	-0.28796351590884045	0.042362472259247934	-6.797608839884849	1.0636978527644763e-11	1.0636978527644763e-11	subclass	macro_f1 ~ ref_type * query_type + cutoff	3820.365605153508	-7624.731210307016	-7564.798395294016
fixed	cond	(Intercept)	0.3071796223271523	0.012017339506583851	25.561366736694094	4.104650225503187e-144	1.026162556375797e-143	class	macro_f1 ~ ref_type * query_type + cutoff	3188.893927566176	-6361.787855132352	-6301.8550401193515
fixed	cond	ref_typecell_and_nucleus	0.3044304936399375	0.013970192311959265	21.791431845882894	2.797652646354432e-105	4.66275441059072e-105	class	macro_f1 ~ ref_type * query_type + cutoff	3188.893927566176	-6361.787855132352	-6301.8550401193515
fixed	cond	query_typesingle-nucleus	0.4266344055461028	0.03141078783872873	13.58241658046135	5.09183051679709e-42	6.364788145996362e-42	class	macro_f1 ~ ref_type * query_type + cutoff	3188.893927566176	-6361.787855132352	-6301.8550401193515
fixed	cond	cutoff	-1.5123402859868458	0.02864092265163112	-52.803476493475216	0	0	class	macro_f1 ~ ref_type * query_type + cutoff	3188.893927566176	-6361.787855132352	-6301.8550401193515
fixed	cond	ref_typecell_and_nucleus:query_typesingle-nucleus	-0.20288010000671253	0.044435897292313314	-4.565680280339641	4.9787710371041016e-6	4.9787710371041016e-6	class	macro_f1 ~ ref_type * query_type + cutoff	3188.893927566176	-6361.787855132352	-6301.8550401193515
fixed	cond	(Intercept)	0.8602858119214055	0.012213538080957648	70.43706796662737	0	0	family	macro_f1 ~ ref_type * query_type + cutoff	4594.963886743936	-9173.927773487872	-9113.994958474872
fixed	cond	ref_typecell_and_nucleus	0.23134792386042538	0.013821047059118413	16.73881312109374	6.833720517571713e-63	8.542150646964641e-63	family	macro_f1 ~ ref_type * query_type + cutoff	4594.963886743936	-9173.927773487872	-9113.994958474872
fixed	cond	query_typesingle-nucleus	0.5972033909904609	0.033020504323560705	18.085834944814756	4.120787996140459e-73	6.867979993567433e-73	family	macro_f1 ~ ref_type * query_type + cutoff	4594.963886743936	-9173.927773487872	-9113.994958474872
fixed	cond	cutoff	-1.7714574495433153	0.02776151764528527	-63.809820204269755	0	0	family	macro_f1 ~ ref_type * query_type + cutoff	4594.963886743936	-9173.927773487872	-9113.994958474872
fixed	cond	ref_typecell_and_nucleus:query_typesingle-nucleus	-0.016444572421994916	0.04656137199272456	-0.3531805812029006	0.72395306497773515	0.72395306497773515	family	macro_f1 ~ ref_type * query_type + cutoff	4594.963886743936	-9173.927773487872	-9113.994958474872
fixed	cond	(Intercept)	0.871738400752062	0.01748728463445889	49.8498434133274	0	0	global	macro_f1 ~ ref_type * query_type + cutoff	-1113.7041059603548	2243.4082119207096	2303.34102693371
fixed	cond	ref_typecell_and_nucleus	0.23199046760474315	0.018934213028042556	12.252448372750068	1.6299945687000076e-34	2.0374932108750095e-34	global	macro_f1 ~ ref_type * query_type + cutoff	-1113.7041059603548	2243.4082119207096	2303.34102693371
fixed	cond	query_typesingle-nucleus	1.2614065493828546	0.04753518458543332	26.536271193304675	3.6992349215117843e-155	6.165391535852974e-155	global	macro_f1 ~ ref_type * query_type + cutoff	-1113.7041059603548	2243.4082119207096	2303.34102693371
fixed	cond	cutoff	-1.8102540218350844	0.0382562289927715	-47.31919662487202	0	0	global	macro_f1 ~ ref_type * query_type + cutoff	-1113.7041059603548	2243.4082119207096	2303.34102693371
fixed	cond	ref_typecell_and_nucleus:query_typesingle-nucleus	-0.27485755034587506	0.062349546250519354	-4.4083328087345235	1.0416938877091832e-5	1.0416938877091832e-5	global	macro_f1 ~ ref_type * query_type + cutoff	-1113.7041059603548	2243.4082119207096	2303.34102693371
