key	study	reference	method	macro_f1_mean	cutoff	subsample_ref
class	GSE124952	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.7399	0.0	100
class	GSE124952	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.7372	0.0	100
class	GSE124952	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.9326	0.0	100
class	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.8863	0.0	100
class	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.8769	0.0	100
class	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.9128	0.0	100
class	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.8671	0.0	100
class	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.8109	0.0	100
class	GSE124952	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.912	0.0	100
class	GSE124952	whole cortex	scvi_knn	0.7056	0.0	100
class	GSE124952	whole cortex	scvi_rf	0.6948	0.0	100
class	GSE124952	whole cortex	seurat	0.6025	0.0	100
class	GSE181021.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.698	0.0	100
class	GSE181021.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.711	0.0	100
class	GSE181021.2	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.8658	0.0	100
class	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.8979	0.0	100
class	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_rf	0.8993	0.0	100
class	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	0.8992	0.0	100
class	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_knn	0.8897	0.0	100
class	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi_rf	0.8217	0.0	100
class	GSE181021.2	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	0.8992	0.0	100
class	GSE181021.2	whole cortex	scvi_knn	0.6713	0.0	100
class	GSE181021.2	whole cortex	scvi_rf	0.6252	0.0	100
class	GSE181021.2	whole cortex	seurat	0.5437	0.0	100
class	GSE185454	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_knn	0.6667	0.0	100
class	GSE185454	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi_rf	0.641	0.0	100
class	GSE185454	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	0.6443	0.0	100
class	GSE185454	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi_knn	0.9818	0.0	100
