"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.717267718439261	0.0640890546001084	0.577247790923128	0.824973231048967
"scvi"	0	0.778427974586087	0.0545123544600691	0.654078702014297	0.867155739783493
"seurat"	0.05	0.710973036848908	0.0649304217712373	0.569730503647847	0.820461504594322
"scvi"	0.05	0.73948089386171	0.0608758652329119	0.604410900142872	0.84059559298181
"seurat"	0.1	0.70459592949973	0.0657594589531223	0.562175541179942	0.815862725774866
"scvi"	0.1	0.696358254633269	0.0668047397875402	0.552484738153662	0.809893186609719
"seurat"	0.15	0.6981378572085	0.0665750821120594	0.554586221996055	0.811176616425358
"scvi"	0.15	0.649481122207912	0.0719188802301059	0.499381808476352	0.774865450233036
"seurat"	0.2	0.691600396043219	0.0673762015351474	0.546965933200732	0.806402969303876
"scvi"	0.2	0.599528926782266	0.0758430208290751	0.446286669843612	0.735496436333242
"seurat"	0.25	0.684985237433101	0.0681617245322101	0.539318124811536	0.80154165091732
"scvi"	0.25	0.547418607646162	0.0782595591864041	0.394383461894861	0.691984970867867
"seurat"	0.5	0.650811205337938	0.0718173023154816	0.500790672181076	0.775920823051119
"scvi"	0.5	0.293999802320987	0.065594736849367	0.183099827413177	0.436202771719409
"seurat"	0.75	0.615013495832956	0.0749225066719537	0.462117869768525	0.748135209355957
"scvi"	0.75	0.125393309601839	0.0347084736888403	0.0715799694535332	0.210490880132391
