"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	0.640668218804201	0.0162556917465403	Inf	1	-17.5479087595996	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.786047855945559	0.0193734096170647	Inf	1	-9.76757733449207	8.68194405256872e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	0.972120265300752	0.0240145029054578	Inf	1	-1.14461798663946	0.946908811194537
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.972882692649446	0.0273630809525721	Inf	1	-0.977458056176165	0.977658206058168
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.488073113160122	0.0143511795311286	Inf	1	-24.3945100810056	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.57195051976425	0.0163708526351059	Inf	1	-19.5194692213682	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	0.490126121473087	0.0141985354195445	Inf	1	-24.6155864508813	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	1.22691875899933	0.031554351575491	Inf	1	7.95174601482079	1.61648472385423e-13
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	1.51735365789675	0.0390409289339017	Inf	1	16.2057522289563	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.51854370810732	0.0438876392773757	Inf	1	14.4545106759173	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.761818830456588	0.0228398569233222	Inf	1	-9.0740564789588	1.0325074129014e-13
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.89274058393561	0.0261805632487838	Inf	1	-3.86888803912139	0.00276378722256199
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	0.765023310174337	0.0226705961644636	Inf	1	-9.03861141738868	5.14033260401447e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	1.23671893250235	0.0309701963143543	Inf	1	8.48414360460447	7.71605002114484e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.237688882796	0.0352574867333355	Inf	1	7.4858427369277	2.04114503077335e-12
