"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.785218088025221	0.0470946143197212	0.678959412617753	0.8633836956749
"scvi"	0	0.842904307201312	0.0369803871958086	0.756317702153683	0.902683233639339
"seurat"	0.05	0.778111462229274	0.0482053748458559	0.669833320734053	0.858387104930495
"scvi"	0.05	0.809634335620193	0.0430355119988004	0.711018132769042	0.880264562791837
"seurat"	0.1	0.770838319752203	0.0493143205326255	0.660573696044112	0.85324095476332
"scvi"	0.1	0.771230715017186	0.0492569148159733	0.661066965834643	0.853521807390435
"seurat"	0.15	0.763399266506633	0.0504194389948644	0.651185763324885	0.847943108916509
"scvi"	0.15	0.727685478157811	0.0553159832958312	0.60724635812054	0.8220166086185
"seurat"	0.2	0.755795230501421	0.0515186355157081	0.64167512498992	0.842491570948874
"scvi"	0.2	0.679298272116178	0.0608084754789196	0.550683391676415	0.785441807975047
"seurat"	0.25	0.748027473666938	0.0526097382909844	0.632047752988047	0.836884497613252
"scvi"	0.25	0.626723598873731	0.065296559707754	0.492773828291351	0.743698188390507
"seurat"	0.5	0.706801694563387	0.0578632743975425	0.582393295451191	0.806464044319951
"scvi"	0.5	0.344427469032499	0.0630431391855228	0.233099906925056	0.475928261807293
"seurat"	0.75	0.661879740114716	0.0625573777340025	0.530904693193679	0.771991025613744
"scvi"	0.75	0.141190476156385	0.0338951218052079	0.086799752861204	0.221400562202441
