"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.936204170374497	0.0194713624437721	0.885655763495542	0.965282492352557
"scvi"	0	0.932628068239897	0.0204885032849446	0.87959660722199	0.963277089964381
"seurat"	0.05	0.930994842759259	0.0209389134121145	0.876878923944763	0.962346341608073
"scvi"	0.05	0.912759063754555	0.0259574347238155	0.846685537441197	0.951972314113771
"seurat"	0.1	0.925394039029642	0.0224977237827777	0.867525570003581	0.959173598419895
"scvi"	0.1	0.887735741060651	0.0324785135362907	0.806749630393736	0.937415580732654
"seurat"	0.15	0.919378012424969	0.0241501722928291	0.857573247499523	0.955747131146184
"scvi"	0.15	0.856662108553104	0.0400083128182321	0.759361341132123	0.918825601352626
"seurat"	0.2	0.912922517763345	0.0258981006920614	0.847001052377586	0.952048892057691
"scvi"	0.2	0.818743713792397	0.0483451165835143	0.704600378065074	0.89533344236749
"seurat"	0.25	0.906002971903881	0.0277426951736693	0.835790067156909	0.948059925038235
"scvi"	0.25	0.773447207458217	0.0570777318252431	0.643224730036312	0.866037785340766
"seurat"	0.5	0.863587645916106	0.0383943936012939	0.769690993481471	0.923030919639943
"scvi"	0.5	0.457100943219334	0.0808575993524114	0.307743183470487	0.61459128101824
"seurat"	0.75	0.806128366805072	0.0510221572837371	0.686783019833187	0.887451661530444
"scvi"	0.75	0.17194317624558	0.0464660694441662	0.0987116734464516	0.282475868497416
