"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.66517097963942	0.0686432974925871	0.520565775123461	0.784238351034413
"scvi"	0	0.726084605799124	0.0613002307609454	0.591630404363645	0.82906072772445
"seurat"	0.05	0.658962040878978	0.0692560502514335	0.513652396219729	0.779494178583097
"scvi"	0.05	0.681915971118764	0.0668461939187199	0.539549420521203	0.796838832508904
"seurat"	0.1	0.652698081353324	0.0698517485138988	0.506730202287102	0.774678167515579
"scvi"	0.1	0.634213179165361	0.0714866362110205	0.486586076736125	0.760302276546555
"seurat"	0.15	0.64638081012867	0.0704296489691808	0.499801838370993	0.769790579905855
"scvi"	0.15	0.583723575665168	0.0748721417152661	0.433918140961494	0.719511308462674
"seurat"	0.2	0.640012006877873	0.0709890208219246	0.49286996198585	0.764831739718629
"scvi"	0.2	0.531413969063723	0.0767247093215683	0.382697618507585	0.674751951666055
"seurat"	0.25	0.633593520422444	0.071529147666054	0.485937239054967	0.759802034111792
"scvi"	0.25	0.478404740488458	0.0768839843555764	0.333952628432613	0.626561130756648
"seurat"	0.5	0.600825166608586	0.0739172747429265	0.451354305252617	0.733608644270665
"scvi"	0.5	0.240906349885852	0.0563638569778678	0.147813658018741	0.367354950295477
"seurat"	0.75	0.567128423273436	0.0757283145519895	0.417147757998463	0.705739876882449
"scvi"	0.75	0.0989452847644587	0.0275077494551204	0.056584935474878	0.167390633234061
