"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	0.845368218383683	0.426171527996484	1.9836337316055	0.0472966859916771	0.0591208574895964	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	9690.08461037906	-19346.1692207581	-19219.0601684457
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	0.543184948446756	0.0250994456052936	21.6413126006335	7.33842893858876e-104	2.75191085197078e-103	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	9690.08461037906	-19346.1692207581	-19219.0601684457
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	0.213293619116846	0.0238555950848711	8.94103116514222	3.85555617218683e-19	6.42592695364472e-19	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	9690.08461037906	-19346.1692207581	-19219.0601684457
"fixed"	"cond"	NA	"referencewhole cortex"	-0.00485109904616615	0.0235228398548668	-0.206229310580562	0.836611793386741	0.836611793386741	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	9690.08461037906	-19346.1692207581	-19219.0601684457
"fixed"	"cond"	NA	"methodscvi"	-0.374046484234799	0.0276735214714385	-13.516403563632	1.25145901500773e-41	3.12864753751932e-41	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	9690.08461037906	-19346.1692207581	-19219.0601684457
"fixed"	"cond"	NA	"cutoff"	-0.829411516703585	0.0358757803986909	-23.1189818726243	2.98342485493276e-118	1.49171242746638e-117	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	9690.08461037906	-19346.1692207581	-19219.0601684457
"fixed"	"cond"	NA	"subsample_ref100"	-0.123351928265985	0.0154670581895253	-7.97513830713602	1.52210273763521e-15	2.28315410645281e-15	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	9690.08461037906	-19346.1692207581	-19219.0601684457
"fixed"	"cond"	NA	"subsample_ref50"	-0.206380045938809	0.0153734308317747	-13.4244625156963	4.3472697133611e-41	9.31557795720235e-41	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	9690.08461037906	-19346.1692207581	-19219.0601684457
"fixed"	"cond"	NA	"treatment_statetreatment"	-0.205856852724839	0.0260161937229332	-7.91264298371887	2.51981202286486e-15	3.43610730390663e-15	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	9690.08461037906	-19346.1692207581	-19219.0601684457
"fixed"	"cond"	NA	"sexmale"	-0.0661536518807583	0.0500125072046799	-1.32274216147612	0.185921137446774	0.214524389361662	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	9690.08461037906	-19346.1692207581	-19219.0601684457
"fixed"	"cond"	NA	"sexNone"	0.287428255288193	0.703114776813388	0.408792795666814	0.682691727345925	0.731455422156348	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	9690.08461037906	-19346.1692207581	-19219.0601684457
"fixed"	"cond"	NA	"methodscvi:cutoff"	-3.67991197346343	0.0557096480713239	-66.055200505882	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	9690.08461037906	-19346.1692207581	-19219.0601684457
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types:methodscvi"	0.753596440772451	0.0359973435992435	20.9347792204392	2.58258660536481e-97	7.74775981609444e-97	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	9690.08461037906	-19346.1692207581	-19219.0601684457
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x:methodscvi"	0.434646714996448	0.0348312422435322	12.4786452334228	9.76337184739848e-36	1.83063222138722e-35	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	9690.08461037906	-19346.1692207581	-19219.0601684457
"fixed"	"cond"	NA	"referencewhole cortex:methodscvi"	1.17738232827993	0.034940525379569	33.6967551429091	6.44924400386848e-249	4.83693300290136e-248	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	9690.08461037906	-19346.1692207581	-19219.0601684457
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	1.11890647401828	NA	NA	NA	NA	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"class"	9690.08461037906	-19346.1692207581	-19219.0601684457
