"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.692292837036074	0.0756964822919256	0.528552793688318	0.81867339881536
"scvi"	0	0.736570731356194	0.0689564631158817	0.582153028875267	0.848748981960728
"seurat"	0.05	0.683388902960469	0.0768761544691759	0.518228475752285	0.812423283924491
"scvi"	0.05	0.690563321070829	0.0759284178628377	0.526540051024491	0.817462337433731
"seurat"	0.1	0.674348517522473	0.0780181171131287	0.507884134770564	0.806011558137512
"scvi"	0.1	0.640443140791025	0.081813623130176	0.470254322099998	0.781375368915063
"seurat"	0.15	0.665176468983548	0.0791192781275273	0.497528601485998	0.799437619109784
"scvi"	0.15	0.587059301309359	0.0861214669035924	0.414708951481287	0.740424482748686
"seurat"	0.2	0.655877915629658	0.0801765857467177	0.487170752905077	0.792701115317906
"scvi"	0.2	0.531546955746009	0.088456474042341	0.361244517116382	0.694804509459858
"seurat"	0.25	0.646458379389386	0.0811870451494761	0.476819481922339	0.785801959396378
"scvi"	0.25	0.47524263596147	0.0885914704545578	0.311004683180653	0.645016706836706
"seurat"	0.5	0.597763441059795	0.0854379150824781	0.425470322870828	0.748883413768187
"scvi"	0.5	0.226804874581661	0.062327234926558	0.127515426390087	0.370569336419128
"seurat"	0.75	0.547060749088641	0.0881303823016748	0.375576201508213	0.708058153782007
"scvi"	0.75	0.0867664005369825	0.0282022625225315	0.0451560211922958	0.160283504591568
