"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	1.51515416163405	0.391419178440121	3.87092468915862	0.000108423287617812	0.000135529109522265	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	19581.0972526299	-39128.1945052598	-38995.7628925517
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	0.567105553473327	0.0228827683026591	24.7830833215851	1.36452159374095e-135	4.09356478122284e-135	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	19581.0972526299	-39128.1945052598	-38995.7628925517
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	0.941027968983579	0.0232165344098474	40.532663160288	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	19581.0972526299	-39128.1945052598	-38995.7628925517
"fixed"	"cond"	NA	"referencewhole cortex"	0.439749412947656	0.0219858401955285	20.0014831835761	5.34588188973482e-89	1.00235285432528e-88	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	19581.0972526299	-39128.1945052598	-38995.7628925517
"fixed"	"cond"	NA	"methodscvi"	-0.67057882205584	0.0251466899466071	-26.6666835070401	1.14644082254732e-156	4.29915308455244e-156	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	19581.0972526299	-39128.1945052598	-38995.7628925517
"fixed"	"cond"	NA	"cutoff"	-1.59893748221069	0.0323014834106128	-49.5004350693488	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	19581.0972526299	-39128.1945052598	-38995.7628925517
"fixed"	"cond"	NA	"subsample_ref100"	-0.102075964527451	0.0140817876682015	-7.24879304620901	4.20501815782382e-13	5.73411566975975e-13	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	19581.0972526299	-39128.1945052598	-38995.7628925517
"fixed"	"cond"	NA	"subsample_ref50"	-0.205439262191118	0.0139442755450417	-14.7328745424977	3.96476079445312e-49	6.60793465742186e-49	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	19581.0972526299	-39128.1945052598	-38995.7628925517
"fixed"	"cond"	NA	"treatment_statetreatment"	-0.250838130951556	0.0279457232089035	-8.97590407936336	2.81034183574963e-19	4.21551275362444e-19	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	19581.0972526299	-39128.1945052598	-38995.7628925517
"fixed"	"cond"	NA	"sexmale"	-0.0782017921299192	0.0344805522815818	-2.26799708691707	0.023329384229129	0.024995768816924	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	19581.0972526299	-39128.1945052598	-38995.7628925517
"fixed"	"cond"	NA	"sexNone"	0.593995492680468	0.703029167977217	0.844908745947959	0.398161790945731	0.398161790945731	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	19581.0972526299	-39128.1945052598	-38995.7628925517
"fixed"	"cond"	NA	"methodscvi:cutoff"	-3.75119559301351	0.0488969446451238	-76.7163596874677	0	0	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	19581.0972526299	-39128.1945052598	-38995.7628925517
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types:methodscvi"	0.762648440495448	0.0320995411314374	23.7588580276785	8.89917608736258e-125	2.22479402184064e-124	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	19581.0972526299	-39128.1945052598	-38995.7628925517
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x:methodscvi"	-0.0992350374466681	0.0318872569127176	-3.1120593947073	0.00185787115964515	0.00214369749189825	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	19581.0972526299	-39128.1945052598	-38995.7628925517
"fixed"	"cond"	NA	"referencewhole cortex:methodscvi"	0.712944055866016	0.0310497225647489	22.9613663819151	1.13451526047994e-116	2.43110412959988e-116	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	19581.0972526299	-39128.1945052598	-38995.7628925517
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	1.16833024783784	NA	NA	NA	NA	"weighted_f1 ~ reference + method + cutoff + subsample_ref + treatment_state + sex + method:cutoff + reference:method + (1 | study )"	"family"	19581.0972526299	-39128.1945052598	-38995.7628925517
