"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.230248231273843	0.134474418755041	0.0632527196391912	0.569902956050131
0.05	"seurat"	0.219287220330402	0.129870294285372	0.0596425655928146	0.554344637257284
0.1	"seurat"	0.208706531961323	0.12526168555237	0.0562212043093423	0.538701986644709
0.15	"seurat"	0.198506558670505	0.120666239882385	0.0529804234722251	0.523005742450283
0.2	"seurat"	0.18868621387379	0.116100263148224	0.049912199256711	0.507286972506263
0.25	"seurat"	0.179243044878093	0.111578677982064	0.0470087113327918	0.49157682813801
0.5	"seurat"	0.137518100438837	0.0900612700949978	0.0347041858975661	0.414220998767249
0.75	"seurat"	0.104272098021626	0.0711121634657768	0.0254770062499075	0.341392713056104
0	"scvi"	0.341784683730401	0.170628004078335	0.104972302610243	0.696873953667438
0.05	"scvi"	0.270152504464411	0.149519144570983	0.0771722748730639	0.620978697989315
0.1	"scvi"	0.208771442707468	0.125261989030118	0.0562599496314069	0.538715909170243
0.15	"scvi"	0.158311601642099	0.101056800465758	0.0407555168887427	0.454343911986495
0.2	"scvi"	0.118225509712848	0.079084244151215	0.029384503256365	0.372566552530421
0.25	"scvi"	0.0872375926397891	0.0604319927097308	0.0211116560069595	0.29752987039896
0.5	"scvi"	0.0172875598060969	0.0129493002193119	0.00392857494601536	0.0727552450077417
0.75	"scvi"	0.00322748779822103	0.00247167405541687	0.000716842714157786	0.0144045761048519
