"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	0.999984825421885	0.118188392127473	Inf	1	-0.000128392160242678	1
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.000580894961569224	8.55480540511579e-05	Inf	1	-50.5939486908224	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.0014728547322004	0.000199953986795195	Inf	1	-48.030185108934	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	0.00165865096716873	0.000217450099414767	Inf	1	-48.8308351258642	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.502060923247084	0.0608050827491234	Inf	1	-5.6892768326186	5.70757320073056e-07
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.502055427508598	0.0608042625691977	Inf	1	-5.68938168035761	5.70407715394516e-07
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.000412583337216251	6.86118023919132e-05	Inf	1	-46.8620803177321	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.00184811898286966	0.000276239653474742	Inf	1	-42.105821219856	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	0.000468339956843056	7.77941249351694e-05	Inf	1	-46.1531274350968	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.000580903776538958	8.55491546366716e-05	Inf	1	-50.5939625052466	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.00147287708248874	0.000199956474260935	Inf	1	-48.0302046748754	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	0.00165867613687934	0.000217452760379562	Inf	1	-48.8308628246489	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.502068541925392	0.0608057895529029	Inf	1	-5.68917173717257	5.71107957481054e-07
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.50206304610351	0.0608049681262957	Inf	1	-5.68927670072026	5.70757759943419e-07
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.000412589598089337	6.86127202248517e-05	Inf	1	-46.8620733067204	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.0018481470277211	0.000276243225730829	Inf	1	-42.1058141422885	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	0.000468347063812161	7.77951652458172e-05	Inf	1	-46.153119255397	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	2.53549235170098	0.20674033069812	Inf	1	11.4104066868256	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	2.85533715542664	0.227565316964486	Inf	1	13.1645323972604	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	864.288651929122	127.803307165673	Inf	1	45.728388748467	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	864.279191116327	127.801701554235	Inf	1	45.728388655578	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.710254632096829	0.0711563953599714	Inf	1	-3.4150219301698	0.0224582066043024
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	3.18150286219934	0.304569954967472	Inf	1	12.0895840053568	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	0.806238628026464	0.080871618376294	Inf	1	-2.14715698549254	0.493807605275884
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	1.12614701973409	0.0812304706973721	Inf	1	1.64702503508572	0.824853283961355
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	340.876063518511	46.5673380071344	Inf	1	42.6871131757209	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	340.872332167167	46.5667393638215	Inf	1	42.6871145410261	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.280124935742892	0.0275320682122981	Inf	1	-12.9472461632545	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.25478700815839	0.114214844453157	Inf	1	2.49349192012277	0.271734773214516
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	0.317981092502837	0.0312750398168719	Inf	1	-11.6492604219665	0
"whole cortex seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	302.692328395097	39.9348100079505	Inf	1	43.3004581977086	0
"whole cortex seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	302.689015016578	39.9342909161735	Inf	1	43.300464086333	0
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.248746327818756	0.0241824255733685	Inf	1	-14.3114740115789	0
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.11423019034821	0.0989592811439632	Inf	1	1.21786778425052	0.969740007965031
"whole cortex seurat / whole cortex scvi"	0.282361971332943	0.0274660973424154	Inf	1	-13.0002157727682	0
