"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.0504022433046501	0.00421981271901759	0.0427382523613687	0.0593553548981492
0.05	"seurat"	0.0504022529757789	0.00401702292098308	0.0430796489344956	0.0588929374525011
0.1	"seurat"	0.0504022626469096	0.00385192355711326	0.0433595171031883	0.0585189627489286
0.15	"seurat"	0.0504022723180419	0.00372952351040483	0.0435681255112501	0.0582431497731307
0.2	"seurat"	0.0504022819891761	0.00365411618956162	0.0436971235932079	0.0580738402513367
0.25	"seurat"	0.050402291660312	0.00362863252906167	0.0437408067572612	0.0580167334742123
0.5	"seurat"	0.0504023400160178	0.0042198191424133	0.0427383371148842	0.0593554648682452
0.75	"seurat"	0.0504023883717676	0.00563263425558186	0.0404307595115951	0.0626727385536054
0	"scvi"	0.0758933002424298	0.00589041454236407	0.0651141889903565	0.0882882899739881
0.05	"scvi"	0.0755308497717181	0.00555206191398906	0.065333790960426	0.0871709962042253
0.1	"scvi"	0.0751699894839566	0.0052760914417159	0.0654512126824344	0.0861987883320385
0.15	"scvi"	0.0748107137455179	0.00507049791439982	0.0654506905372914	0.0853870016640836
0.2	"scvi"	0.0744530169298205	0.00494185000614905	0.0653192263075801	0.0847482086489749
0.25	"scvi"	0.074096893417459	0.00489401141406466	0.0650490902675099	0.0842897160384182
0.5	"scvi"	0.0723396792448979	0.00575583715744465	0.0618281951929102	0.0844773170377769
0.75	"scvi"	0.0706209590916875	0.00772653403507655	0.0568849966507783	0.0873664742833073
