"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.0504022462706705	0.0058745507082657	Inf	0.0400570894266552	0.0632431263855897
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.0504022493574734	0.00587455096392578	Inf	0.0400570920404903	0.0632431300001709
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.0504022307779309	0.00587454942509488	Inf	0.0400570763077631	0.0632431082439017
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.0504022615989091	0.00587455197780978	Inf	0.0400571024062549	0.0632431443346451
"whole cortex"	"seurat"	0.0504022285182735	0.00587454923794071	Inf	0.0400570743943382	0.0632431055978874
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.0516441736377244	0.00598555452780383	Inf	0.0410959143160131	0.0647171696459731
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.0516441221765306	0.00598555031114076	Inf	0.0410958706663487	0.0647171094936397
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.0516441601802291	0.00598555342511457	Inf	0.0410959029012919	0.0647171539156792
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.0516441932623333	0.00598555613581967	Inf	0.0410959309617115	0.0647171925849307
"whole cortex"	"scvi"	0.298157915254264	0.0252146402798721	Inf	0.251194837117272	0.349799557306862
