"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	0.0148491674247436	0.000960663275396573	Inf	1	-65.0719113644258	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.0187163882491636	0.00120250104314337	Inf	1	-61.9213192858494	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.0307914481740133	0.00198195212058467	Inf	1	-54.0730511372784	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	0.0451790259673423	0.00282361333288838	Inf	1	-49.5552873372232	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.550675712692507	0.0347966146310988	Inf	1	-9.44167104604266	9.01501095995627e-14
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.00908391976820858	0.00065990627625626	Inf	1	-64.7149067779757	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.00837401322525559	0.000618682968074846	Inf	1	-64.7338656703542	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.0273166241544468	0.00191961251470727	Inf	1	-51.2327063786396	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	0.00807031740689939	0.000581034008545101	Inf	1	-66.9416906567756	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	1.2604335121157	0.0775623006938026	Inf	1	3.76129307948621	0.00652390745957332
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	2.07361445212778	0.130797287395504	Inf	1	11.5619592936576	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	3.04252923245106	0.189739688580745	Inf	1	17.8422833019445	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	37.0846187493921	2.51158017944524	Inf	1	53.3505681639534	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.611746066858389	0.0414747295786461	Inf	1	-7.24863719027433	1.90081284046073e-11
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.563938232072308	0.0388227982912027	Inf	1	-8.32062045264251	1.10356168647741e-13
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.8396064488389	0.124154487740846	Inf	1	9.03177314946443	6.50590692430342e-14
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	0.543486188555704	0.0363459519298941	Inf	1	-9.11769319807542	1.2445600106048e-13
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.64515972655083	0.103701777488543	Inf	1	7.89786046616168	2.69562150378988e-13
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	2.41387522880442	0.150245258533811	Inf	1	14.1581010936871	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	29.4221142114379	1.9846280032222	Inf	1	50.1343999085069	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.485345764753224	0.0330368663716472	Inf	1	-10.6200571163198	9.20374887414255e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.447416088711977	0.030924587224661	Inf	1	-11.6361025691444	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.45950296557176	0.0986777573899023	Inf	1	5.59226481220968	1.00144047565642e-06
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	0.431189890883997	0.0289539996849889	Inf	1	-12.5274515014321	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	1.46725888668892	0.0927500806726655	Inf	1	6.06512815026496	5.91730839882842e-08
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	17.8840472062388	1.20061229940416	Inf	1	42.9580527134313	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.295014372720379	0.0203961278867709	Inf	1	-17.6569421429761	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.271959057525684	0.0190918328276686	Inf	1	-18.5481881835991	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.887149704686542	0.0606277954438078	Inf	1	-1.75214464232417	0.765247769205511
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	0.262096065157156	0.0178760440129276	Inf	1	-19.632879108714	0
"whole cortex seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	12.1887468997354	0.802559478556027	Inf	1	37.9761533035074	0
"whole cortex seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.201064975919908	0.0138719462841492	Inf	1	-23.2507956826458	0
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.185351787604026	0.0129965904212286	Inf	1	-24.0378724876138	0
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.604630657026397	0.0410739692194496	Inf	1	-7.40645128576314	5.90094639818517e-12
"whole cortex seurat / whole cortex scvi"	0.17862973435357	0.0121663148359168	Inf	1	-25.2894182468052	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.0164959513536435	0.00107030145197145	Inf	1	-63.2625010455528	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.0152067960003378	0.00100734476282561	Inf	1	-63.191715239385	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.0496056454367367	0.0030567773886843	Inf	1	-48.7434998832995	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / whole cortex scvi"	0.0146552993365912	0.000941440052858524	Inf	1	-65.7382742609234	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.921850196713814	0.0560228644758751	Inf	1	-1.33897645875021	0.94467687196814
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	3.00714062337363	0.174050991865711	Inf	1	19.022188393323	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / whole cortex scvi"	0.888417953133344	0.0519932241472282	Inf	1	-2.02163601426253	0.583574390119263
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	3.26207081594537	0.193314395652632	Inf	1	19.9516919417721	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / whole cortex scvi"	0.963733539679604	0.0576329218026599	Inf	1	-0.617715253961893	0.999829153712768
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi) / whole cortex scvi"	0.295436118360388	0.0168112780882131	Inf	1	-21.427641566235	0
