"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	1.97000428288479	0.714660767469989	2.75655859752721	0.00584131453655009	0.00681486695930844	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	20866.6050836338	-41701.2101672677	-41585.7172306017
"fixed"	"cond"	NA	"cutoff"	-2.01072173090184	0.0585432521963716	-34.3459178550122	1.62060071242205e-258	1.13442049869544e-257	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	20866.6050836338	-41701.2101672677	-41585.7172306017
"fixed"	"cond"	NA	"methodscvi"	-0.389819438498966	0.0512628873522686	-7.604320759777	2.86404104344296e-14	6.68276243470024e-14	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	20866.6050836338	-41701.2101672677	-41585.7172306017
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-0.286703108875741	0.0447780751723243	-6.40275643319615	1.52596528484742e-10	3.05193056969484e-10	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	20866.6050836338	-41701.2101672677	-41585.7172306017
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.269949924921211	0.0435922571752252	-6.19261177130858	5.91753581041852e-10	1.03556876682324e-09	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	20866.6050836338	-41701.2101672677	-41585.7172306017
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.221263504303275	0.0428538844780774	-5.16320765312339	2.42753586374304e-07	3.39855020924025e-07	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	20866.6050836338	-41701.2101672677	-41585.7172306017
"fixed"	"cond"	NA	"referencewhole cortex"	-1.44607326415846	0.0449337009415062	-32.1823761198955	3.1142121924599e-227	1.45329902314795e-226	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	20866.6050836338	-41701.2101672677	-41585.7172306017
"fixed"	"cond"	NA	"subsample_ref100"	-0.23437515242122	0.023443736430574	-9.99734633236879	1.56535504542633e-23	4.38299412719373e-23	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	20866.6050836338	-41701.2101672677	-41585.7172306017
"fixed"	"cond"	NA	"subsample_ref50"	0.0113887153489859	0.0232149898804488	0.490575934240541	0.623726411040334	0.623726411040334	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	20866.6050836338	-41701.2101672677	-41585.7172306017
"fixed"	"cond"	NA	"cutoff:methodscvi"	-3.66957479349675	0.0817887937713833	-44.8664740521052	0	0	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	20866.6050836338	-41701.2101672677	-41585.7172306017
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-0.388867663654673	0.0631916334866038	-6.15378400903515	7.56557048074972e-10	1.17686651922773e-09	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	20866.6050836338	-41701.2101672677	-41585.7172306017
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.171647530555489	0.061229764100613	-2.80333483358579	0.00505771304528392	0.00643708933036135	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	20866.6050836338	-41701.2101672677	-41585.7172306017
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	0.105656835850419	0.0610365060204931	1.7310433171739	0.0834440388636141	0.089862811083892	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	20866.6050836338	-41701.2101672677	-41585.7172306017
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	0.662371710540463	0.0625641218904995	10.5870855456064	3.42076782559029e-26	1.1972687389566e-25	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	20866.6050836338	-41701.2101672677	-41585.7172306017
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	2.01818481283545	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	20866.6050836338	-41701.2101672677	-41585.7172306017
