"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	3.63498263035993	0.11772215904264	30.877641558063	2.38462178528967e-209	3.33847049940554e-208	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	1603.3810390866	-3174.7620781732	-3096.89114562181
"fixed"	"cond"	NA	"cutoff"	-3.49208280544934	0.131229822206833	-26.610436154866	5.14032473167253e-156	1.79911365608538e-155	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	1603.3810390866	-3174.7620781732	-3096.89114562181
"fixed"	"cond"	NA	"methodscvi"	2.67263440452504	0.178286528295573	14.9906694020885	8.44972870017882e-51	1.68994574003576e-50	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	1603.3810390866	-3174.7620781732	-3096.89114562181
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-2.23003539523418	0.113585931391888	-19.6330246880684	8.0760803134928e-86	2.26130248777798e-85	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	1603.3810390866	-3174.7620781732	-3096.89114562181
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-1.43604113458286	0.115080752587166	-12.4785518194727	9.77483166589754e-36	1.52052937025073e-35	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	1603.3810390866	-3174.7620781732	-3096.89114562181
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.926901967300347	0.119923942003961	-7.7290818814956	1.08324984705685e-14	1.26379148823299e-14	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	1603.3810390866	-3174.7620781732	-3096.89114562181
"fixed"	"cond"	NA	"referencewhole cortex"	-3.49819699873909	0.116601565035061	-30.0012868411091	9.44138586194885e-198	6.6089701033642e-197	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	1603.3810390866	-3174.7620781732	-3096.89114562181
"fixed"	"cond"	NA	"subsample_ref100"	-0.847901007770771	0.0594020014442036	-14.2739467889345	3.18056615532563e-46	5.56599077181985e-46	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	1603.3810390866	-3174.7620781732	-3096.89114562181
"fixed"	"cond"	NA	"subsample_ref50"	-0.618061949394392	0.0592290479250771	-10.4351153875751	1.71405382394984e-25	2.18152304866343e-25	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	1603.3810390866	-3174.7620781732	-3096.89114562181
"fixed"	"cond"	NA	"cutoff:methodscvi"	-6.90397497808275	0.247634701151826	-27.8796749646564	4.70648395350452e-171	2.19635917830211e-170	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	1603.3810390866	-3174.7620781732	-3096.89114562181
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	0.595219899406925	0.17158158089972	3.46901978805521	0.000522360978332114	0.000522360978332114	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	1603.3810390866	-3174.7620781732	-3096.89114562181
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-2.05185979797219	0.178115056784341	-11.5198559572454	1.04786022028625e-30	1.46700430840075e-30	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	1603.3810390866	-3174.7620781732	-3096.89114562181
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-2.98809992808218	0.183739254386786	-16.2627193522402	1.81500363075245e-59	4.23500847175572e-59	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	1603.3810390866	-3174.7620781732	-3096.89114562181
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	-0.664822215173724	0.178227510748953	-3.7301885235337	0.00019133655006787	0.000206054746226937	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	1603.3810390866	-3174.7620781732	-3096.89114562181
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	1.23125108267394e-05	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	1603.3810390866	-3174.7620781732	-3096.89114562181
