"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	4.03829066695892	0.390315403257909	Inf	1	14.4414821704651	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	5.67180886827647	0.560125306064693	Inf	1	17.5736930225003	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	17.0354699039527	1.85887367252471	Inf	1	25.9838138813085	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	66.8800106435755	8.03228104845767	Inf	1	34.9950410840271	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	5.51206741809631	0.659553153056994	Inf	1	14.2653659049636	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	86.974939661812	10.9576992979074	Inf	1	35.4451260129782	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	101.730460622879	12.8629057616176	Inf	1	36.5571699311154	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	95.3416331162329	12.0635428271051	Inf	1	36.0189633131908	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	110.343869740982	13.9971003993174	Inf	1	37.0800798066552	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	1.40450733640421	0.134446622080944	Inf	1	3.5485630045581	0.0141926503301288
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	4.21848532185561	0.442530102891545	Inf	1	13.7220245755104	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	16.5614652731127	1.89476558028063	Inf	1	24.5356658869503	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	1.36495063696027	0.163343331918357	Inf	1	2.59980660628427	0.217472583739073
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	21.5375630024446	2.60546979602391	Inf	1	25.3758378941841	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	25.1914656503633	3.05412455754339	Inf	1	26.6133208424256	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	23.6094033290652	2.86671039953685	Inf	1	26.0384006215872	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	27.3244000596118	3.31784967082799	Inf	1	27.2414711726123	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	3.0035338460073	0.316903407362436	Inf	1	10.423539294456	1.02917674382752e-13
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	11.7916545138974	1.34698214583643	Inf	1	21.5998664397307	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.971835889768143	0.117159271661877	Inf	1	-0.236974202502297	0.999999958958318
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	15.3346034187223	1.84572734190984	Inf	1	22.682214689778	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	17.9361581085492	2.1633312870078	Inf	1	23.9345848747347	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	16.8097401253236	2.03084058625595	Inf	1	23.3580070956521	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	19.4547934007715	2.35037035673236	Inf	1	24.5678922128899	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	3.92592696419002	0.456960217361751	Inf	1	11.7496169204338	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.323564154624074	0.0418845619708958	Inf	1	-8.71672385534297	8.1823436914874e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	5.10552043190962	0.633018463554865	Inf	1	13.149133495947	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	5.97168503108178	0.741137019260067	Inf	1	14.398923373476	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	5.59665413714892	0.694186683944955	Inf	1	13.8844264322385	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	6.4773012052564	0.804579612554179	Inf	1	15.0408576013809	0
"whole cortex seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.0824172628720386	0.0113398792245659	Inf	1	-18.1404243636938	0
"whole cortex seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.30046240759931	0.164232602554758	Inf	1	2.08032599831591	0.54150906342775
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.52108918111619	0.191696916590597	Inf	1	3.3280938628514	0.0299041657727471
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.42556246924568	0.179163120057008	Inf	1	2.8212091047679	0.129187214903786
"whole cortex seurat / whole cortex scvi"	1.64987817255352	0.207609525853156	Inf	1	3.97908713743946	0.00278189198903367
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	15.7790050564821	1.92325269680249	Inf	1	22.6331307808542	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	18.4559536207583	2.26652306219509	Inf	1	23.7395543429214	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	17.2968916895361	2.12395152387512	Inf	1	23.2139260287822	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / whole cortex scvi"	20.0185994421475	2.48193768322834	Inf	1	24.1702170499746	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.16965255760385	0.139455874816544	Inf	1	1.31434007915995	0.950678601751106
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.09619659969818	0.130959986172799	Inf	1	0.76879878074466	0.998980240835636
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / whole cortex scvi"	1.26868578661895	0.151551805953907	Inf	1	1.9922151987888	0.604567858075493
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.937198480499077	0.111864889551069	Inf	1	-0.543395476417927	0.999941849798526
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / whole cortex scvi"	1.0846689287099	0.12942949420957	Inf	1	0.68111412208893	0.999617019637932
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi) / whole cortex scvi"	1.15735241923599	0.138194257175635	Inf	1	1.22385472736743	0.968749189978282
