"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.986061960825853	0.0040221894134292	Inf	0.975529290078703	0.992097887282798
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.973639643475283	0.00747329644081037	Inf	0.954282396241946	0.984930286092193
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.980161540044279	0.00567530400137598	Inf	0.96537858958992	0.98870618285656
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.980095501980981	0.00569364461064096	Inf	0.965265650767646	0.988668070583456
"whole cortex"	"seurat"	0.930581057163568	0.0187876796979797	Inf	0.883461990888175	0.959521665401289
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.987868904527542	0.00350668396810565	Inf	0.978673803140622	0.993127245089076
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.986150093874952	0.0039885169591453	Inf	0.975711633029181	0.992138541850827
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.966876652874053	0.00932541622842257	Inf	0.942844643063046	0.981007513979679
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.965010484442513	0.0098266934697415	Inf	0.939725721644778	0.979915115109531
"whole cortex"	"scvi"	0.966267921930672	0.00948984381210268	Inf	0.941824040445106	0.980652169268331
