"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.15023225463858	0.0165689926445803	0.120554661304389	0.185673281707061
0.05	"seurat"	0.148448046889127	0.0163571818499986	0.119153913409921	0.183444296136758
0.1	"seurat"	0.14668137132676	0.0161573721555701	0.117750591124638	0.181259925687077
0.15	"seurat"	0.144932142483743	0.0159693412675341	0.116344996589176	0.179119622674376
0.2	"seurat"	0.143200273164622	0.0157928474868757	0.114937466149322	0.177022796631957
0.25	"seurat"	0.141485674505773	0.0156276302941428	0.113528369353387	0.174968815698158
0.5	"seurat"	0.133168521489179	0.01496036997497	0.106474446301629	0.165316824466561
0.75	"seurat"	0.125268947522008	0.0145269492338153	0.0994525671235628	0.156621351078041
0	"scvi"	0.115421653724892	0.0132265484377534	0.0919167539520055	0.143984172827479
0.05	"scvi"	0.111829970612565	0.0128397102445828	0.0890265848377252	0.139579304669901
0.1	"scvi"	0.108336365038315	0.0124679517467612	0.0862075198119961	0.135304445281211
0.15	"scvi"	0.104939005599499	0.0121107625481006	0.0834586702160653	0.131156750970918
0.2	"scvi"	0.10163604136707	0.01176762395543	0.0807791363583635	0.127133329366291
0.25	"scvi"	0.0984256061115692	0.0114380117799731	0.0781680073421029	0.123231250602481
0.5	"scvi"	0.0836954613939949	0.00997444394960372	0.0661057365939739	0.105437128172104
0.75	"scvi"	0.0709961995906656	0.00877156182723793	0.0556100706600245	0.0902326040610505
