"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.962502911640085	0.0363750865603883	Inf	1	-1.01127228715449	0.972923779035936
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.973879206817276	0.0368653378135225	Inf	1	-0.699210614336533	0.997038976754514
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	1.20910485098666	0.0459351801375169	Inf	1	4.99802510827142	1.59518079954069e-05
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	2.10780810739839	0.0954903510615642	Inf	1	16.4590886745525	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.30147731132489	0.0566368380037092	Inf	1	6.05505709720048	3.92218744149631e-08
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.39446146493426	0.0626375079006235	Inf	1	7.40243375620207	3.79674069961311e-12
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	1.56135088513677	0.0685817578266945	Inf	1	10.1435438890488	7.83817455385361e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.01181949170191	0.0382126905861695	Inf	1	0.311128793303027	0.999986462290077
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	1.25620903206035	0.0477803943126275	Inf	1	5.99700726943388	5.61449110536572e-08
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	2.18992387649688	0.0995614221749307	Inf	1	17.2417041457725	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.35218012910444	0.0590237486652523	Inf	1	6.91208817305674	1.33734134877272e-10
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.44878674970253	0.0652168307243191	Inf	1	8.23565954813616	9.5590202420226e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	1.62217783058574	0.0714790895519083	Inf	1	10.978879318706	6.57252030578093e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	1.24153472270768	0.047300413754584	Inf	1	5.67868011686367	3.78352079111188e-07
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	2.16434244888223	0.0983198175367477	Inf	1	16.9968249259605	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.33638474075058	0.0582671102638821	Inf	1	6.65055854789238	8.1715323396736e-10
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.43186285852789	0.0643513245287174	Inf	1	7.98747853807859	1.45772283133283e-13
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	1.60322848481323	0.0705639613478593	Inf	1	10.7243829819813	8.12683254025615e-14
"whole cortex seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.74327983687962	0.0788487581929082	Inf	1	12.2875705105086	0
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.07639739453766	0.0468102682768584	Inf	1	1.6928780157623	0.69201888918349
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.15330069496979	0.051786651218492	Inf	1	3.1763585523066	0.0321952998331264
"whole cortex seurat / whole cortex scvi"	1.29132794716907	0.0566598744609913	Inf	1	5.82696743852113	1.57515170795541e-07
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.617455311399891	0.0247691848483088	Inf	1	-12.0191764673171	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.661569456934772	0.0274943693180903	Inf	1	-9.94098107628293	6.89448498292222e-14
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / whole cortex scvi"	0.740746218622293	0.030041059116449	Inf	1	-7.39973458609676	3.87234688759008e-12
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.07144508229246	0.0424495052201917	Inf	1	1.7418008402101	0.659620125846721
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / whole cortex scvi"	1.19967583879533	0.0463761319943436	Inf	1	4.70937613310871	6.76952755406246e-05
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi) / whole cortex scvi"	1.11968019511416	0.0449322583997828	Inf	1	2.81695445012951	0.0907600036216987
