"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"	"key"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.965254179179697	0.0298579512306206	Inf	1	-1.1432488852586	0.947241628442698	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.08548455486882	0.0338048214140421	Inf	1	2.63389881072237	0.143762121655129	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	1.85735086506942	0.058811197479128	Inf	1	19.5537767995342	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	2.02753317606928	0.0646412812358204	Inf	1	22.1700546208583	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	2.37544227118993	0.0761044713423305	Inf	1	27.0049019931979	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	2.78614561888718	0.0893284540147173	Inf	1	31.9590169900587	0	"all"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	2.07825444072199	0.066422937793988	Inf	1	22.8882077670273	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.12455825448101	0.0349600089864399	Inf	1	3.77609245630571	0.00396911913011699	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	1.92420908930729	0.0608495805159342	Inf	1	20.6973284133946	0	"all"
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	2.10051737646176	0.0668860315988531	Inf	1	23.307851995007	0	"all"
