"effect"	"component"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	"(Intercept)"	1.6418064283549	0.0208087303287125	78.8998849242371	0	0	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	44491.8491110783	-88961.6982221566	-88869.4043908692
"fixed"	"cond"	"methodscvi"	-0.511892762421393	0.0257639512243621	-19.8685658874153	7.6147366348304e-88	1.26912277247173e-87	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	44491.8491110783	-88961.6982221566	-88869.4043908692
"fixed"	"cond"	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.859351259921528	0.026266395596288	-32.7167561598354	9.02338239531218e-235	3.00779413177073e-234	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	44491.8491110783	-88961.6982221566	-88869.4043908692
"fixed"	"cond"	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-1.32026676102421	0.0267983458396576	-49.2667259734521	0	0	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	44491.8491110783	-88961.6982221566	-88869.4043908692
"fixed"	"cond"	"referencewhole cortex"	-0.700769790959759	0.0260278553570193	-26.9238391464617	1.15522409317544e-159	2.88806023293861e-159	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	44491.8491110783	-88961.6982221566	-88869.4043908692
"fixed"	"cond"	"subsample_ref100"	0.195049106432445	0.0166323801394434	11.7270712187421	9.26077943008646e-32	1.32296849001235e-31	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	44491.8491110783	-88961.6982221566	-88869.4043908692
"fixed"	"cond"	"subsample_ref50"	0.15872681699853	0.0166816872922799	9.51503371436456	1.81653981459989e-21	2.27067476824986e-21	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	44491.8491110783	-88961.6982221566	-88869.4043908692
"fixed"	"cond"	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.0523361451999042	0.0378927948846123	-1.38116349979656	0.167228694754706	0.167228694754706	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	44491.8491110783	-88961.6982221566	-88869.4043908692
"fixed"	"cond"	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.817236561315767	0.0380571616731856	-21.4739230511659	2.72973969722752e-102	5.45947939445504e-102	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	44491.8491110783	-88961.6982221566	-88869.4043908692
"fixed"	"cond"	"methodscvi:referencewhole cortex"	0.167889999514311	0.0374999299938598	4.47707501165473	7.56726668412072e-06	8.40807409346746e-06	"f1_score ~ method + reference + subsample_ref + method:reference"	"all"	44491.8491110783	-88961.6982221566	-88869.4043908692
