"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	1.42921277883983	0.0265490672367841	Inf	1	19.2250024239822	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	2.07978672472069	0.0380932465764234	Inf	1	39.9796786959684	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	1.53978740802011	0.0284997648408609	Inf	1	23.3209134960376	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.02902800017566	0.0222265255828887	Inf	1	1.32478168939327	0.889705825501962
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.11690368750151	0.0239320655594703	Inf	1	5.15982198199557	6.83644815746565e-06
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.93117817819911	0.0411698811918958	Inf	1	30.8712773101437	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	1.00955891583785	0.0216714176414089	Inf	1	0.443185469156739	0.999850092985257
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.45519740343279	0.0261355875666882	Inf	1	20.8874213479829	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	1.07736750665638	0.0195614649760359	Inf	1	4.10429600780653	0.00105641154758773
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.719996361221296	0.0153743156030763	Inf	1	-15.3844488263559	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.781481738785008	0.0165430885976331	Inf	1	-11.6474543825303	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.35121810187476	0.0284400644329524	Inf	1	14.3011423194311	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	0.706374117825451	0.0149848562974119	Inf	1	-16.3860695678574	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	0.74035832122493	0.0132411047302419	Inf	1	-16.8088129787049	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.494775732503943	0.0104359163168436	Inf	1	-33.3606817449213	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.537027991488648	0.011225832412801	Inf	1	-29.7414933232413	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.928546256808357	0.0192899861840369	Inf	1	-3.56857961991966	0.00860085138601363
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	0.485414635951881	0.0101712958621144	Inf	1	-34.4925880674017	0
"whole cortex seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.668292255681455	0.0142082903595247	Inf	1	-18.9566524593561	0
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.725362268637881	0.0152878371036803	Inf	1	-15.2344812704509	0
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.25418494016798	0.0262803144354147	Inf	1	10.8086689793867	7.14983627858601e-14
"whole cortex seurat / whole cortex scvi"	0.655648247660346	0.0138475262615544	Inf	1	-19.9869161759039	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.08539678931074	0.021345807941547	Inf	1	4.16679087776149	0.000809984907028549
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.87670129274369	0.0356542647456906	Inf	1	33.1352436109398	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / whole cortex scvi"	0.981080121887369	0.0191840455090104	Inf	1	-0.976840762994715	0.977738432340428
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.72904629092874	0.0325455973848173	Inf	1	29.0906887043328	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / whole cortex scvi"	0.903890753638941	0.0175230548908767	Inf	1	-5.21229003415607	5.16462311439536e-06
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi) / whole cortex scvi"	0.5227683945659	0.00976355026505838	Inf	1	-34.7287953217013	0
