"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.853005510672076	0.0198599345007474	0.809675932630324	0.887837096992702
"scvi"	0	0.890886804200582	0.0154062978914857	0.85682559016652	0.917623897195013
"seurat"	0.05	0.848933100252467	0.020300530003302	0.804707211277755	0.884580133829505
"scvi"	0.05	0.867318653297684	0.0182243157588693	0.827360586698473	0.899155534803875
"seurat"	0.1	0.844768397650564	0.0207480250529135	0.799634596642486	0.881245345530672
"scvi"	0.1	0.839576529358721	0.0213164666342928	0.793287542220517	0.877105845534796
"seurat"	0.15	0.840510450399752	0.0212023276394909	0.794457471763603	0.877831720482756
"scvi"	0.15	0.807322461815173	0.0246065024233223	0.754477208154591	0.851039204244163
"seurat"	0.2	0.836158361206278	0.0216633297499336	0.789175312252746	0.874338277244295
"scvi"	0.2	0.770357281569957	0.0279744752004373	0.711025583294091	0.820581057205968
"seurat"	0.25	0.831711291878192	0.0221309066289887	0.783787691559961	0.870764067103352
"scvi"	0.25	0.728683658722031	0.0312563366329958	0.663305987856542	0.785472352070711
"seurat"	0.5	0.80802654936782	0.0245617839908963	0.755260249231597	0.851650932278984
"scvi"	0.5	0.469058825946257	0.0394129017521741	0.393140392560646	0.546436942015067
"seurat"	0.75	0.78188262409674	0.0271274797911061	0.724097589437693	0.830399836542319
"scvi"	0.75	0.225167844346899	0.027734995243451	0.175461595658577	0.284103470909362
