"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.00505876176082827	0.00385734130044589	Inf	0.00113085827354553	0.0223248517290989
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.00505883813822321	0.00385739891036095	Inf	0.00113087556085098	0.0223251801171406
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.897465805323971	0.0700113580397229	Inf	0.663336626890025	0.974926688527954
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.775388304848057	0.132342102176714	Inf	0.437737006118431	0.938677956332678
"whole cortex"	"seurat"	0.754023724302014	0.140864433947309	Inf	0.408930607875905	0.931423581633909
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.0100256906335452	0.00759953586238556	Inf	0.00225299638884781	0.0434460364138729
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.0100257992792516	0.00759961691743603	Inf	0.00225302120209287	0.0434464875161324
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.924944813150592	0.0528790804270204	Inf	0.734698662355904	0.982091810664082
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.733416255382809	0.148686079428993	Inf	0.382610489226952	0.924319175724422
"whole cortex"	"scvi"	0.915657321545062	0.0588254454256207	Inf	0.709271078049665	0.979720600728283
