"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.0131813279096992	0.00781131070331719	Inf	0.00409990815774329	0.0415393359250823
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.0131813716155844	0.00781133602209569	Inf	0.00409992202200645	0.0415394682876724
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.7464562431659	0.112640190594156	Inf	0.478339081488633	0.904330824617308
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.485912703985155	0.14842921731106	Inf	0.227768917261758	0.751797869064235
"whole cortex"	"seurat"	0.538243934041516	0.147516871928613	Inf	0.266971675222219	0.788614144829077
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.0216541957335356	0.0127012473761961	Inf	0.00678843076351542	0.0668818613124292
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.0216535433083505	0.0127008765643025	Inf	0.00678822100594679	0.0668799589809367
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.464169689318114	0.148174831735492	Inf	0.212280606096734	0.735770120090797
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.545616438604708	0.147622734183296	Inf	0.272082907144405	0.79413443849306
"whole cortex"	"scvi"	0.575189849796483	0.145587540850545	Inf	0.296350788292938	0.81318680529511
