"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	0.00388523447047544	0.000230451050797294	Inf	1	-93.5785424884774	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.00393660139526073	0.000234391615056713	Inf	1	-93.0011265721538	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.00415309728086812	0.000245547160268293	Inf	1	-92.7527479912728	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	0.00508630528767349	0.000296120103390324	Inf	1	-90.7125636889962	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.474772569778861	0.0299932429049427	Inf	1	-11.7915656611288	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.00518496210647406	0.000323812617390552	Inf	1	-84.2562380998984	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.00231660937334598	0.000154334419189574	Inf	1	-91.0773916733788	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.00530554039310856	0.000333205695771448	Inf	1	-83.4191786719511	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	0.00500869070159194	0.000313938204696091	Inf	1	-84.5036834670839	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	1.01322106173402	0.0472166937204978	Inf	1	0.281851105665811	0.999999808560163
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.06894379539464	0.0495139846610726	Inf	1	1.43934304295028	0.914949009405673
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	1.30913728021441	0.0596915051616751	Inf	1	5.90771091121355	1.55520221589711e-07
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	122.199206608183	7.46174961962194	Inf	1	78.7009695162176	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.33453003824492	0.0685655973082215	Inf	1	5.6167761101784	8.69593675512093e-07
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.596259863066254	0.0327540085617644	Inf	1	-9.41299356825868	9.28146448586631e-14
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.36556504721305	0.0694794933596583	Inf	1	6.12363095364566	4.10628593350282e-08
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	1.28916047143457	0.0660261263311231	Inf	1	4.95917972408157	3.11249847847472e-05
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.05499563300161	0.0490216814975743	Inf	1	1.15216179008615	0.979129206659554
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	1.29205494206167	0.0591021393345389	Inf	1	5.60162996411236	9.48923795651702e-07
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	120.604684627313	7.42188543235991	Inf	1	77.8778037805971	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.3171163615184	0.0683265183025724	Inf	1	5.3096927128649	4.88132037346212e-06
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.588479538755166	0.0325927248841483	Inf	1	-9.57328895350048	7.89368570508486e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.34774640874128	0.069235314992096	Inf	1	5.80936444857154	2.80907705985101e-07
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	1.27233880159213	0.0658077098657024	Inf	1	4.65677093371246	0.000139010310776122
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	1.22470169699716	0.0556807551387703	Inf	1	4.4583398471247	0.000352145529234238
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	114.31770981286	6.97958956407221	Inf	1	77.6191073967643	0
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.24845669528604	0.064261944232478	Inf	1	4.31114732601353	0.000682686997702131
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.557802819601119	0.0307094162893972	Inf	1	-10.6031730734407	9.76996261670138e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.27749003558124	0.0651829550628489	Inf	1	4.79962572327119	6.93735973342768e-05
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	1.20601333483452	0.0618849293905695	Inf	1	3.65049467494944	0.00984791771555471
"whole cortex seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	93.3433097162804	5.5983221454315	Inf	1	75.6354796869094	0
"whole cortex seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.01939655864536	0.0515364376966541	Inf	1	0.379992645483648	0.999997341566081
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.455460150801449	0.0246952015316905	Inf	1	-14.5046515136523	0
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.04310301742335	0.0522157789886854	Inf	1	0.843018855705717	0.997891827451856
"whole cortex seurat / whole cortex scvi"	0.984740478266289	0.0496345757361882	Inf	1	-0.305079639403153	0.999999614278002
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.0109209386483493	0.000641632375307401	Inf	1	-76.8830920703318	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.00487940862806165	0.000306694131324079	Inf	1	-84.6830054107702	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.0111749092740968	0.00065132989358188	Inf	1	-77.1052953945937	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / whole cortex scvi"	0.0105496631869969	0.000618963744862906	Inf	1	-77.5788477584774	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.446793886970438	0.0220353342346574	Inf	1	-16.335718716768	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.02325538435159	0.0443700926184392	Inf	1	0.53017060179611	0.999952826886839
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / whole cortex scvi"	0.966003337871646	0.0433979991761981	Inf	1	-0.769899854050568	0.998968535109814
