"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.073313821437729	0.0173335773816457	Inf	0.0457855107006878	0.115391870639846
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.348051040753884	0.0578624640348567	Inf	0.244639726304009	0.468086921942827
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.693692223785527	0.0543526420295703	Inf	0.578369756489985	0.788980541286331
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.301484336264102	0.0537535196945103	Inf	0.20742445255778	0.415819571942953
"whole cortex"	"seurat"	0.514637172903185	0.0639798589877721	Inf	0.390917382561729	0.636588703880627
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.101921586200824	0.0232646916514017	Inf	0.0645124767836855	0.157373996377788
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.364200745226243	0.0590674851817457	Inf	0.25785672780751	0.485699620139391
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.440204157358477	0.0629483486716726	Inf	0.322785478998255	0.564718165376267
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.316869047398429	0.055160410597358	Inf	0.219660187297709	0.433214427391772
"whole cortex"	"scvi"	0.46289471314205	0.0635210400968708	Inf	0.343113923945194	0.587116802664028
