"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.0326513713848912	0.0079295458553698	Inf	0.0202186263246209	0.052320950567972
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.747873095442235	0.047220504117638	Inf	0.644848324323519	0.828939705941013
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.76686652844756	0.0448109975634913	Inf	0.668064745991667	0.84316364405771
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.703034879488689	0.0522749526515729	Inf	0.591710934635635	0.7945447097681
"whole cortex"	"seurat"	0.583698629462123	0.0609070649257921	Inf	0.461751491579319	0.696195102804099
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.0592261050189334	0.0139369512634503	Inf	0.0371265286757877	0.0932070651527102
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.717968433248561	0.0506982184433452	Inf	0.609136056739012	0.806141547031689
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.795088880667863	0.0408233350301325	Inf	0.703656580804049	0.863772569255541
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.696857816681755	0.0528220201913446	Inf	0.584747452535996	0.789591647721759
"whole cortex"	"scvi"	0.71469866581613	0.0510195607486795	Inf	0.605373655027816	0.803564547216182
