"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	0.545751597159074	0.0848410694367974	Inf	1	-3.89554790517761	0.00554310865477414
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / BrainAgingSpatialAtlas snRNAseq seurat"	0.717147902514806	0.112456594959068	Inf	1	-2.12021752716426	0.608122980221327
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.472199758181107	0.0732833972285643	Inf	1	-4.83488207621256	8.48677972286049e-05
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.40325163870616	0.221425942019592	Inf	1	2.14704124094176	0.588508309781562
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	0.506270820577905	0.0786414274940007	Inf	1	-4.38204420323213	0.000720287727652758
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	3.18526982185209	0.513128998036611	Inf	1	7.19166713182261	4.23100443569524e-11
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	2.72565658394413	0.442504735134684	Inf	1	6.17629850558692	4.31971252101704e-08
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / BrainAgingSpatialAtlas snRNAseq scvi"	3.49056447051688	0.560745282795666	Inf	1	7.78147804735102	5.42121902924464e-13
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	2.06623392635351	0.340397483851879	Inf	1	4.40521167434243	0.000649168952520096
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.61849749449826	0.268774539038714	Inf	1	2.89946997248927	0.140865547050555
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	3.73984799002394	0.59776341116979	Inf	1	8.25247509883915	1.43995926293883e-13
