"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	0.890434976138692	0.0502324107441374	Inf	1	-2.05705244782388	0.653685195050527
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / BrainAgingSpatialAtlas snRNAseq seurat"	1.49728994284187	0.0878133183581602	Inf	1	6.88268285834153	3.87524790035343e-10
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	1.08834607867939	0.063388956395031	Inf	1	1.45354170701461	0.952631624427009
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.10953342599682	0.0649982582467389	Inf	1	1.77426984230425	0.832266290144378
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	1.37899834046196	0.0808698938221631	Inf	1	5.47980582107901	2.77966963491139e-06
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.753528458424238	0.0481729486798773	Inf	1	-4.42654827996293	0.000589586283941457
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.725636037965868	0.0450030116715832	Inf	1	-5.17112836146302	1.50601042004928e-05
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / BrainAgingSpatialAtlas snRNAseq scvi"	1.93047701481808	0.127884467955082	Inf	1	9.92930843347001	1.04694031222152e-13
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.185188209564	0.075377772140154	Inf	1	2.67141564272355	0.240528807872282
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.06524684618292	0.0672981733166044	Inf	1	1.00048155343955	0.997722897654616
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	0.863751482125526	0.0531008825401423	Inf	1	-2.38251863066791	0.417924224356379
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / BrainAgingSpatialAtlas snRNAseq seurat"	1.68152642580906	0.0944051512990404	Inf	1	9.25683164734791	1.29229960066368e-13
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	1.22226339692868	0.0681172394747689	Inf	1	3.6013441412358	0.0165760879165513
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.24605777595152	0.0698532044501024	Inf	1	3.92414003588679	0.00495479406741572
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	1.54867944029095	0.0869324670208152	Inf	1	7.79221420196283	5.03264097062583e-13
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.846247596530699	0.0521666755433333	Inf	1	-2.70815344461134	0.221938931451947
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.814923107706907	0.048620007733965	Inf	1	-3.43034497277313	0.0297618438289311
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / BrainAgingSpatialAtlas snRNAseq scvi"	2.16801570754718	0.138843128708656	Inf	1	12.0829694561266	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.33102162574912	0.0816029722868493	Inf	1	4.66406243154601	0.000195174678958576
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.19632188169684	0.0728240276193095	Inf	1	2.94467086304468	0.125443926540444
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	0.970033191947517	0.0573341857150721	Inf	1	-0.514758330952021	0.999996757550091
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.72687730514886	0.0421185053847394	Inf	1	-5.50523107075535	2.40811764207205e-06
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.741027769071177	0.0431327567844623	Inf	1	-5.1491898328694	1.69190115048012e-05
"BrainAgingSpatialAtlas snRNAseq seurat / whole cortex seurat"	0.920996195195574	0.0536756815526026	Inf	1	-1.41213689399346	0.96149313779663
"BrainAgingSpatialAtlas snRNAseq seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.503261550661348	0.0321624465145788	Inf	1	-10.7442746760444	1.12798659301916e-13
"BrainAgingSpatialAtlas snRNAseq seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.484632947302515	0.0300479751576531	Inf	1	-11.6829972219779	0
"BrainAgingSpatialAtlas snRNAseq seurat / BrainAgingSpatialAtlas snRNAseq scvi"	1.28931408645812	0.0848937938832961	Inf	1	3.85926995384862	0.00638198054430728
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.791555580286945	0.050225611214755	Inf	1	-3.68398140313371	0.012321585128535
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.71144994413111	0.0448671592040177	Inf	1	-5.39845383168193	4.380019518746e-06
"BrainAgingSpatialAtlas snRNAseq seurat / whole cortex scvi"	0.576876567063638	0.0354097679735085	Inf	1	-8.96236741200872	8.24895707296491e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.01946747246348	0.0590175548079137	Inf	1	0.333049140411999	0.999999968266211
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex seurat"	1.26705867506341	0.0734355496152721	Inf	1	4.08399640984608	0.00259849763145947
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.692361072627358	0.0438203719458201	Inf	1	-5.80882656898464	4.12867138588346e-07
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.666732808782997	0.0409141913014689	Inf	1	-6.60579462523675	2.60702204268881e-09
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / BrainAgingSpatialAtlas snRNAseq scvi"	1.77377127793813	0.116233290252909	Inf	1	8.74588003631006	9.49240686054509e-14
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.0889810077711	0.0685256429503079	Inf	1	1.35463681518465	0.971682038646421
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.978775838909167	0.0611814648386697	Inf	1	-0.343197372829588	0.999999956172188
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat) / whole cortex scvi"	0.793636784333908	0.0482508918903325	Inf	1	-3.80164521429811	0.00795651227944749
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex seurat"	1.24286326860594	0.072376803396073	Inf	1	3.73352499059316	0.0102710337015302
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.679139934650693	0.0432824446786389	Inf	1	-6.07124470857891	8.34942293082008e-08
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.654001061134276	0.0404713934839107	Inf	1	-6.86210950915369	4.4764225659577e-10
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / BrainAgingSpatialAtlas snRNAseq scvi"	1.73989982598651	0.114639760540868	Inf	1	8.40549942221682	1.2445600106048e-13
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.06818612381976	0.0677312939365429	Inf	1	1.04028267440426	0.996775267768564
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.960085402768184	0.0604891665908425	Inf	1	-0.646515676905719	0.999966109043737
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat) / whole cortex scvi"	0.778481713022319	0.047703296300411	Inf	1	-4.08649816791606	0.00257176193385278
"whole cortex seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.546431736945971	0.0348958457648166	Inf	1	-9.46341223246434	1.05138120432002e-13
"whole cortex seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.526205156797204	0.0325946468524968	Inf	1	-10.3654274087162	1.0946799022804e-13
"whole cortex seurat / BrainAgingSpatialAtlas snRNAseq scvi"	1.39991250038154	0.0923076657084777	Inf	1	5.1018968964141	2.17073610970786e-05
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.859455863570488	0.0545288447858772	Inf	1	-2.38716924419087	0.414699427067493
"whole cortex seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.772478700609652	0.0487105088754134	Inf	1	-4.09390154342002	0.00249413699767609
"whole cortex seurat / whole cortex scvi"	0.62636150949694	0.0384441439623448	Inf	1	-7.62220616962246	1.71951342053944e-12
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.962984250765129	0.0538530984691623	Inf	1	-0.674465433953193	0.99994804853932
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / BrainAgingSpatialAtlas snRNAseq scvi"	2.56191653179902	0.15579466782274	Inf	1	15.469960674802	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.57285129222915	0.0908568527481664	Inf	1	7.84012134528927	4.73954209212479e-13
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.41367832133446	0.0808230464040228	Inf	1	6.05530790240859	9.21847747026305e-08
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi / whole cortex scvi"	1.14627586054518	0.0634048280469505	Inf	1	2.4680713243162	0.360226528348857
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / BrainAgingSpatialAtlas snRNAseq scvi"	2.66039297087514	0.157013337395472	Inf	1	16.5790052194629	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.63330946583961	0.0912494040775099	Inf	1	8.78159363751154	9.38138455808257e-14
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.46801811162668	0.0811297093633512	Inf	1	6.94679710741893	2.46587306129697e-10
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi / whole cortex scvi"	1.1903370793805	0.0635036288661801	Inf	1	3.26595821954491	0.050316081049707
"BrainAgingSpatialAtlas snRNAseq scvi / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.613935416203691	0.0371052081191372	Inf	1	-8.07212651753377	1.97841742988203e-13
"BrainAgingSpatialAtlas snRNAseq scvi / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.551804988096841	0.0330974520810239	Inf	1	-9.91259060119395	1.0769163338864e-13
"BrainAgingSpatialAtlas snRNAseq scvi / whole cortex scvi"	0.447429042405315	0.0260814949060886	Inf	1	-13.7967219474208	0
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.89879973289204	0.0512577401110704	Inf	1	-1.87088758729057	0.777534629767139
"(Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi) / whole cortex scvi"	0.728788453306735	0.0402440997725804	Inf	1	-5.72923979009929	6.61385350042565e-07
"(Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi) / whole cortex scvi"	0.810846317189854	0.0442865272502015	Inf	1	-3.83899175631733	0.00690016489947054
