"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	0.662349427852999	0.0368988429142428	Inf	1	-7.39488803568067	9.41569044954349e-12
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / BrainAgingSpatialAtlas snRNAseq seurat"	0.783079976081893	0.0437564004334255	Inf	1	-4.37602417875119	0.000739937497555521
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.547784398409577	0.0307089310836362	Inf	1	-10.736189868227	1.15685239165941e-13
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	1.37383634563067	0.0784416551429755	Inf	1	5.56260761687851	1.73785135826332e-06
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	0.479137616349025	0.0261993612460372	Inf	1	-13.4558184913088	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	1.03205382695127	0.0637555528923231	Inf	1	0.510734308782142	0.999997012788603
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.719788508396487	0.0435276683366829	Inf	1	-5.43711441367071	3.53174578326954e-06
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / BrainAgingSpatialAtlas snRNAseq scvi"	1.06744987490345	0.0646857965801092	Inf	1	1.077131854336	0.995623778585723
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.680837156911216	0.0406303612765251	Inf	1	-6.44187417297921	7.77718323075050e-09
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.05862471635066	0.0644411456711818	Inf	1	0.935900729504811	0.998760466247862
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	0.600115370904802	0.0357621433197879	Inf	1	-8.56880763375042	1.09245945623115e-13
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / BrainAgingSpatialAtlas snRNAseq seurat"	1.18227621728344	0.0639168372177129	Inf	1	3.09718384276215	0.082879627270554
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.827032341803655	0.0447437036295539	Inf	1	-3.51028013108718	0.022748314346776
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	2.07418665716063	0.115555077558208	Inf	1	13.0955950510901	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	0.723391002091065	0.038034069298966	Inf	1	-6.15863397178326	4.82959302550157e-08
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	1.55817123643734	0.0952222804733843	Inf	1	7.25742926211629	2.61096699816221e-11
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	1.08672020859092	0.0646605856674919	Inf	1	1.39770141374044	0.964273790209327
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / BrainAgingSpatialAtlas snRNAseq scvi"	1.61161137915312	0.096541984309904	Inf	1	7.96665422586786	2.72115663335626e-13
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	1.02791235000858	0.0603066795866183	Inf	1	0.469240309366077	0.999998772374378
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	1.59828735684453	0.0961161497525525	Inf	1	7.79774402120866	4.85722573273506e-13
