"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.250650815554162	0.0603353754111525	0.151203525590134	0.385777632267542
0.05	"seurat"	0.243883068298822	0.0590835905593272	0.146799190748003	0.376815962404682
0.1	"seurat"	0.237240202310117	0.0578686585049905	0.142449332488127	0.368037279875299
0.15	"seurat"	0.230723062399873	0.0566903282998925	0.138156239970505	0.359444260248691
0.2	"seurat"	0.224332298674638	0.055548166077411	0.133922213223009	0.351038847174572
0.25	"seurat"	0.218068372474682	0.0544415695890537	0.129749546613098	0.342822283428755
0.5	"seurat"	0.188655058527414	0.0494112235234079	0.109884306744416	0.304571427801245
0.75	"seurat"	0.162385149635046	0.0451114579096086	0.0918632778537483	0.270896032241787
0	"scvi"	0.126265529662882	0.0354590249505155	0.0714390291368187	0.213494741517838
0.05	"scvi"	0.114403975483116	0.032504351973809	0.0644183220289147	0.195088383842695
0.1	"scvi"	0.10352468467891	0.0297404875147515	0.0580206964816366	0.17797352074051
0.15	"scvi"	0.0935706532417635	0.027166987536095	0.0522014011888333	0.162117040479397
0.2	"scvi"	0.0844835186163703	0.0247804860429063	0.0469171537870304	0.147474816555794
0.25	"scvi"	0.0762046902322217	0.0225753369793942	0.0421264268823899	0.133994271085861
0.5	"scvi"	0.0449700681950707	0.0139785473333652	0.0242658096006599	0.0818577557539383
0.75	"scvi"	0.026175082532453	0.008553368758859	0.0137269592311574	0.0493468314856472
