"contrast"	"odds.ratio"	"SE"	"df"	"null"	"z.ratio"	"p.value"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat"	1.00000580962585	0.133892795563101	Inf	1	4.33902563670636e-05	1
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / BrainAgingSpatialAtlas snRNAseq seurat"	0.999998104809387	0.133891626948432	Inf	1	-1.41546477564279e-05	1
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.0819036303033352	0.0117135416482303	Inf	1	-17.4960101493984	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.106293046132879	0.0152644607317282	Inf	1	-15.6089204281007	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex seurat"	0.0875827404763068	0.012424951615463	Inf	1	-17.1653769726275	0
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.794042267960433	0.114981457685247	Inf	1	-1.59261247778465	0.912217648208765
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.794022846190813	0.114978341901113	Inf	1	-1.59278559515119	0.912156380952933
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / BrainAgingSpatialAtlas snRNAseq scvi"	0.794033419078894	0.114980038050492	Inf	1	-1.59269135272566	0.912189737406896
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.182895165178303	0.0290240666881269	Inf	1	-10.7052543831679	1.0813572259849e-13
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.22070680876899	0.0348011377607851	Inf	1	-9.58216824026108	9.1926466438963e-14
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics seurat / whole cortex scvi"	0.185076530370366	0.0291895471096702	Inf	1	-10.6963458153928	1.13020703906841e-13
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / BrainAgingSpatialAtlas snRNAseq seurat"	0.9999922952283	0.133890952394542	Inf	1	-5.75449041234148e-05	1
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.0819031544766518	0.0117134801601743	Inf	1	-17.496040968739	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.106292428613638	0.0152643806769952	Inf	1	-15.6089520626503	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex seurat"	0.0875822316563098	0.0124248865356879	Inf	1	-17.165408109614	0
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.794037654898748	0.114980864109572	Inf	1	-1.59265156712867	0.91220381672954
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types scvi"	0.79401823324196	0.114977748288201	Inf	1	-1.59282468522773	0.912142542833781
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / BrainAgingSpatialAtlas snRNAseq scvi"	0.794028806068617	0.114979444455464	Inf	1	-1.59273044243648	0.912175902890818
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x scvi)"	0.182894102631996	0.0290239124905111	Inf	1	-10.7052856735552	1.08246744900953e-13
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 scvi)"	0.220705526552458	0.0348009532774702	Inf	1	-9.5822002116904	9.38138455808257e-14
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types seurat / whole cortex scvi"	0.185075455151218	0.0291893921445089	Inf	1	-10.6963772959208	1.13131726209303e-13
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions 10x seurat)"	0.0819037855266207	0.0117135615359979	Inf	1	-17.496000350632	0
"BrainAgingSpatialAtlas snRNAseq seurat / (Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4 seurat)"	0.106293247578844	0.0152644866567807	Inf	1	-15.6089103029032	0
"BrainAgingSpatialAtlas snRNAseq seurat / whole cortex seurat"	0.087582906462609	0.0124249726685979	Inf	1	-17.1653670598191	0
"BrainAgingSpatialAtlas snRNAseq seurat / Adult mouse cortical cell taxonomy revealed by single cell transcriptomics scvi"	0.794043772824737	0.114981651316203	Inf	1	-1.59259972622722	0.912222159942704
