"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	2.47662811883725	0.179475588473919	13.7992477968509	2.5752570091613e-43	1.03010280366452e-42	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
"fixed"	"cond"	NA	"cutoff"	-1.57174127303977	0.0744511653191706	-21.1110365607005	6.29762905936889e-99	3.35873549833008e-98	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
"fixed"	"cond"	NA	"methodscvi"	-0.0371111436723512	0.0616141914773815	-0.602314869066726	0.546964565103854	0.62510236011869	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	0.00481928545787459	0.0539808714205235	0.0892776520840361	0.928861254190642	0.928861254190642	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
"fixed"	"cond"	NA	"referenceBrainAgingSpatialAtlas snRNAseq"	-4.94371215924229	0.0645416303388343	-76.5972618492671	0	0	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.00845263983148285	0.0541485976660356	-0.156100807699859	0.875953561716124	0.928861254190642	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	0.0635371230461161	0.0540382212317578	1.17578117113847	0.239682332361669	0.294993639829746	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
"fixed"	"cond"	NA	"referencewhole cortex"	-0.302176747049211	0.0544484007528035	-5.54978186450504	2.86026255430588e-08	5.72052510861175e-08	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
"fixed"	"cond"	NA	"subsample_ref100"	-0.146789657896939	0.0269722734304617	-5.44224268953014	5.26139276243331e-08	9.35358713321478e-08	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
"fixed"	"cond"	NA	"subsample_ref50"	-0.218445127385017	0.0269607659811878	-8.10233387053766	5.39147384810487e-16	1.23233687956683e-15	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
"fixed"	"cond"	NA	"cutoff:methodscvi"	-4.5178113650662	0.109093260352275	-41.41237827596	0	0	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	0.633701781052924	0.0775604491970875	8.17042432854709	3.0730665122741e-16	8.19484403273093e-16	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
"fixed"	"cond"	NA	"methodscvi:referenceBrainAgingSpatialAtlas snRNAseq"	0.664155596368758	0.0780518613256086	8.50915769449883	1.75201421501494e-17	5.60644548804781e-17	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	0.135653198147325	0.0767324599406952	1.76787240044394	0.0770822377510714	0.102776317001429	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.24678779463551	0.0764140580561006	-3.22961246809228	0.00123958115451673	0.00180302713384252	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	0.370917787001171	0.0767498873615549	4.83281213500476	1.34617810087954e-06	2.15388496140726e-06	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.421739198649977	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	49519.326806248	-99002.653612496	-98873.2458344104
