"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	-4.20489311582599	0.145413352405551	-28.9168294813721	7.33557657440765e-184	1.17369225190522e-182	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
"fixed"	"cond"	NA	"cutoff"	-0.0904153178760762	0.176444500709207	-0.512429220024755	0.60835064516667	0.883323736187909	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
"fixed"	"cond"	NA	"methodscvi"	-0.0223839488388921	0.158231057484011	-0.141463687311537	0.887503644841204	0.999999052604269	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	0.659741116008434	0.145827680744576	4.52411443862979	6.06489039625755e-06	4.85191231700604e-05	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
"fixed"	"cond"	NA	"referenceBrainAgingSpatialAtlas snRNAseq"	1.72897669380911e-07	0.145612204582757	1.18738446324838e-06	0.999999052604269	0.999999052604269	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	0.304823327293886	0.145686129381668	2.09232909534793	0.0364090867173057	0.116509077495378	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	0.191170661908513	0.145717660536414	1.31192513800165	0.189545394806027	0.379090789612054	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
"fixed"	"cond"	NA	"referencewhole cortex"	0.309954553077167	0.145687208666773	2.1275344343107	0.0333757033845902	0.116509077495378	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
"fixed"	"cond"	NA	"subsample_ref100"	0.0299984090512938	0.0728568081961748	0.411744760634035	0.680526513459425	0.883323736187909	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
"fixed"	"cond"	NA	"subsample_ref50"	0.0279117284853413	0.0728573856068102	0.383100879243358	0.701644967732216	0.883323736187909	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
"fixed"	"cond"	NA	"cutoff:methodscvi"	0.0904153085603497	0.250088206816946	0.36153367530253	0.717700535652676	0.883323736187909	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-0.659740583886273	0.206078712533256	-3.20140093936101	0.00136761090273057	0.00729392481456305	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
"fixed"	"cond"	NA	"methodscvi:referenceBrainAgingSpatialAtlas snRNAseq"	5.0433232896056e-07	0.205926287568234	2.44909154103722e-06	0.999998045907671	0.999999052604269	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.304823160096656	0.205978579699345	-1.4798779588712	0.138905818798329	0.31749901439618	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-0.191171261732956	0.206000901508243	-0.928011772440261	0.353401463005321	0.628269267565015	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	-0.309954772594821	0.205979352643891	-1.50478564291193	0.132379196080678	0.31749901439618	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	3.79390863331626e-05	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	10659.7756831208	-21283.5513662416	-21192.664779099
