"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"seurat"	0.020330829309252	0.00264157508632297	Inf	0.0157503257690879	0.0262079627836478
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"seurat"	0.0203308565296423	0.00264157755595725	Inf	0.0157503484712423	0.0262079951667029
"BrainAgingSpatialAtlas snRNAseq"	"seurat"	0.524072306720863	0.0249539266288576	Inf	0.47508914700354	0.572596667780482
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"seurat"	0.0203309076575814	0.00264158219465796	Inf	0.0157503911126028	0.0262080559916471
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"seurat"	0.0203308673983609	0.0026415785420469	Inf	0.0157503575358937	0.0262080080967996
"whole cortex"	"seurat"	0.0203307741602414	0.00264157008279871	Inf	0.0157502797741065	0.0262078971749844
"Adult mouse cortical cell taxonomy revealed by single cell transcriptomics"	"scvi"	0.031524932022461	0.00371219505894171	Inf	0.0250075797816398	0.0396716930118182
"An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	"scvi"	0.0315249557286053	0.00371219681847241	Inf	0.0250076001864524	0.0396717202915536
"BrainAgingSpatialAtlas snRNAseq"	"scvi"	0.388313330267859	0.027617288564273	Inf	0.335749565866274	0.443610535408881
"Single-cell RNA-seq for all cortical  hippocampal regions 10x"	"scvi"	0.0315249228196001	0.0037121943758814	Inf	0.0250075718603754	0.0396716824216677
"Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	"scvi"	0.0315249304297002	0.00371219494072221	Inf	0.0250075784106889	0.0396716911789543
"whole cortex"	"scvi"	0.0800389954425418	0.00881680251008721	Inf	0.0643741294575276	0.0991119662266677
