"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.459927072540343	0.019971643968987	0.421103502357096	0.499243141599537
0.05	"seurat"	0.449397233335431	0.0197167311185458	0.411128070590894	0.488274930243161
0.1	"seurat"	0.438912549826341	0.0194862446857147	0.401148434157542	0.477397682905181
0.15	"seurat"	0.428482120217133	0.0192811465636416	0.391172409963119	0.466623009919473
0.2	"seurat"	0.418114851557426	0.0191019801984515	0.381208425753413	0.455961502175072
0.25	"seurat"	0.407819430246361	0.0189488574073856	0.371265509342111	0.445422667698011
0.5	"seurat"	0.357705256174835	0.0185486953071642	0.322218621523093	0.3948234813782
0.75	"seurat"	0.310520119766207	0.0186022669311911	0.275277804991617	0.348107115722389
0	"scvi"	0.663972231878872	0.0180207162524965	0.627783460665959	0.69833325978012
0.05	"scvi"	0.604233480201301	0.0191137364265966	0.566223044066749	0.641024809602169
0.1	"scvi"	0.541212772036173	0.0196825400762809	0.502460150854696	0.579473202519788
0.15	"scvi"	0.476845487677686	0.0196563925121956	0.438527533407366	0.515437954899924
0.2	"scvi"	0.413238231731912	0.0190363606020948	0.37648574115564	0.450983484431615
0.25	"scvi"	0.352400320648742	0.0178954977272825	0.318165054772068	0.388221907304346
0.5	"scvi"	0.130328612562703	0.00915663150945071	0.113405523755299	0.149351659264951
0.75	"scvi"	0.0396347345941576	0.00333061100273177	0.0335974686687424	0.0467044321085202
