"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.448318260776967	0.0570186557535539	0.34082201791899	0.56087089922322
0.05	"seurat"	0.437317877851896	0.056394426471639	0.331467346370804	0.549201985268003
0.1	"seurat"	0.426378800763588	0.055791030195287	0.322120461842065	0.537619231396244
0.15	"seurat"	0.415511292313827	0.0552102228083533	0.312790534055151	0.526138664240584
0.2	"seurat"	0.404725340288567	0.054653242236231	0.303487360865926	0.514775067288761
0.25	"seurat"	0.3940306224125	0.0541208014144435	0.294221317322243	0.50354188933639
0.5	"seurat"	0.342238686581615	0.05181647835352	0.248841526418651	0.449703924407096
0.75	"seurat"	0.293952028038122	0.0499693949305005	0.206117142748038	0.400341607470951
0	"scvi"	0.212589997236673	0.0385906383327905	0.146596941770073	0.297920011714305
0.05	"scvi"	0.189478868148798	0.0352222412682642	0.129743502790171	0.268239846517129
0.1	"scvi"	0.168343053287263	0.0319871356177218	0.114504536421169	0.240617072089585
0.15	"scvi"	0.149131085392371	0.0289211123226603	0.100791111081223	0.215109065650768
0.2	"scvi"	0.131764284695	0.0260483815698943	0.0885047604374561	0.191720824350908
0.25	"scvi"	0.116143843549364	0.0233830491372933	0.0775414856205622	0.170413373605234
0.5	"scvi"	0.0601122905924031	0.0131665983900252	0.0389172353482777	0.0917486098844688
0.75	"scvi"	0.0301888913914551	0.00719630468886503	0.0188591116572554	0.0479922012888031
