"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	-3.54585543098389	0.198392044957814	-17.8729718307903	1.9151448914247e-71	3.06423182627952e-70	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
"fixed"	"cond"	NA	"cutoff"	-1.00262869010418	0.26331259403513	-3.8077506082767	0.000140236593866984	0.000560946375467934	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
"fixed"	"cond"	NA	"methodscvi"	-0.226467585323265	0.224151781081916	-1.01033141128824	0.312336536740484	0.416448715653978	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
"fixed"	"cond"	NA	"referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	-4.29007920411695e-06	0.208329481846951	-2.05927608809043e-05	0.99998356935403	0.999991091548374	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
"fixed"	"cond"	NA	"referenceBrainAgingSpatialAtlas snRNAseq"	-2.32601602517905e-06	0.208329387931159	-1.11650883645262e-05	0.999991091548374	0.999991091548374	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	0.560376213841732	0.209823625662429	2.67070122381396	0.00756929876603853	0.0201847967094361	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
"fixed"	"cond"	NA	"referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	2.3810566190976	0.218953205991779	10.8747282704187	1.52108340243846e-27	1.21686672195077e-26	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
"fixed"	"cond"	NA	"referencewhole cortex"	0.496144204122668	0.209499165307643	2.36823952684536	0.0178729605424755	0.0408524812399439	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
"fixed"	"cond"	NA	"subsample_ref100"	0.139309361070659	0.106710235644747	1.30549201985121	0.191725362729373	0.278873254879088	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
"fixed"	"cond"	NA	"subsample_ref50"	0.183230651515216	0.106390099139765	1.72225285056371	0.085023724745346	0.148728080515685	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
"fixed"	"cond"	NA	"cutoff:methodscvi"	1.00263400670084	0.36539942882718	2.74393972075706	0.00607066840921779	0.0194261389094969	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
"fixed"	"cond"	NA	"methodscvi:referenceAn integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types"	5.9618134472272e-06	0.294490973806595	2.02444691943006e-05	0.999983847250589	0.999991091548374	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
"fixed"	"cond"	NA	"methodscvi:referenceBrainAgingSpatialAtlas snRNAseq"	9.09816533194831e-06	0.294490734484388	3.08945724485285e-05	0.999975349697635	0.999991091548374	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions 10x"	-0.560376412599529	0.295549914333083	-1.89604660811367	0.0579538817268006	0.115907763453601	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
"fixed"	"cond"	NA	"methodscvi:referenceSingle-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4"	-2.38105859332734	0.302099881634135	-7.88169323485859	3.22974157648935e-15	1.72252884079432e-14	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	-0.496140221409207	0.295319513591398	-1.68001164357755	0.092955050322303	0.148728080515685	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	4.32164009101947e-05	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"subclass"	5055.51832642926	-10075.0366528585	-9996.62671496599
