"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.775306858612304	0.0186098896146253	0.736662426906649	0.809744905315048
0.05	"seurat"	0.775306856981807	0.0170839739748939	0.739986423199997	0.807080198395407
0.1	"seurat"	0.77530685535131	0.0157955645059004	0.742771766116287	0.804808210298358
0.15	"seurat"	0.775306853720813	0.014806791201959	0.744896068677477	0.803050897042473
0.2	"seurat"	0.775306852090316	0.0141804721382669	0.746235683670234	0.801931597689406
0.25	"seurat"	0.77530685045982	0.0139654585149063	0.746694496879541	0.801546241433972
0.5	"seurat"	0.775306842307335	0.0186098900720102	0.736662409847223	0.809744890024417
0.75	"seurat"	0.775306834154849	0.0282879827688806	0.714954569904456	0.825990844417181
0	"scvi"	0.826020225217095	0.0168543550888271	0.790396723863368	0.856687050721838
0.05	"scvi"	0.808661521000702	0.0162518597574521	0.774696988528187	0.838572797920233
0.1	"scvi"	0.790011157417519	0.0156390746586988	0.75764717955143	0.819085232528225
0.15	"scvi"	0.770059800735033	0.0151483139907679	0.738967476527239	0.798458697735956
0.2	"scvi"	0.748815545256942	0.0149621021964848	0.718302654967877	0.77704919449477
0.25	"scvi"	0.726306129234741	0.0152865162425976	0.695278573346047	0.755286341853244
0.5	"scvi"	0.597303584954525	0.0268893335642023	0.543554697547967	0.648812523855288
0.75	"scvi"	0.453267721871836	0.0453616091330784	0.366557029180131	0.542910002970391
