"method"	"cutoff"	"fit"	"se"	"lower"	"upper"
"seurat"	0	0.83402176525398	0.0348968658855184	0.754041248308806	0.891728759919013
"scvi"	0	0.824469509662537	0.0364855209258537	0.741305964127814	0.88504394614983
"seurat"	0.05	0.827012182885489	0.0360540574473186	0.744716301400237	0.886810572917637
"scvi"	0.05	0.787215641325351	0.0422162291686284	0.693010291108069	0.858418388449422
"seurat"	0.1	0.819770543039031	0.0372256030662327	0.735155757162664	0.881701956653073
"scvi"	0.1	0.744505342125175	0.0479267548068853	0.640068158236785	0.826837406656835
"seurat"	0.15	0.812294558187103	0.038409544960697	0.725362820103198	0.876398379248446
"scvi"	0.15	0.696527037451202	0.0532474103221417	0.583475082714131	0.789941481708317
"seurat"	0.2	0.804582390191449	0.0396037450554457	0.715341457067155	0.870895451454904
"scvi"	0.2	0.643849051813934	0.0577564648793417	0.524584420124502	0.747590437194093
"seurat"	0.25	0.796632687003877	0.0408058843346889	0.705096417365454	0.865188952982757
"scvi"	0.25	0.587443091157184	0.0610385013964396	0.464993544017796	0.699951250074924
"seurat"	0.5	0.753312358811358	0.0468421006139645	0.650738627704665	0.833470600516542
"scvi"	0.5	0.3015101508635	0.0530789641589025	0.208477751991881	0.414326472906631
"seurat"	0.75	0.704190684313676	0.0526317590239612	0.591963730784719	0.796178527885709
"scvi"	0.75	0.115716022622709	0.0258519978417969	0.0738608282504108	0.176762692117358
