method	cutoff	reference	key	weighted_f1_mean	weighted_f1_std	weighted_f1_count
scvi	0.0	Dissection Angular gyrus AnG	class	0.9518450041665618	0.05916023441429029	902
scvi	0.0	Dissection Angular gyrus AnG	family	0.9850639531345824	0.04116846515037325	902
scvi	0.0	Dissection Angular gyrus AnG	subclass	0.9327187179258376	0.0809695041285066	902
scvi	0.0	Dissection Anterior cingulate cortex ACC	class	0.9530177145006837	0.05948800582971458	902
scvi	0.0	Dissection Anterior cingulate cortex ACC	family	0.9850857215897744	0.04287460563002914	902
scvi	0.0	Dissection Anterior cingulate cortex ACC	subclass	0.9329133388612514	0.08146881214208919	902
scvi	0.0	Dissection Dorsolateral prefrontal cortex DFC	class	0.9361754421204288	0.0680408388716146	902
scvi	0.0	Dissection Dorsolateral prefrontal cortex DFC	family	0.9675590142827744	0.053172426906910715	902
scvi	0.0	Dissection Dorsolateral prefrontal cortex DFC	subclass	0.9142504912282445	0.08749548467545228	902
scvi	0.0	Dissection Primary auditory cortexA1	class	0.9490049893808138	0.06176342978803816	902
scvi	0.0	Dissection Primary auditory cortexA1	family	0.9841974381817785	0.043224694341347375	902
scvi	0.0	Dissection Primary auditory cortexA1	subclass	0.9301282244047911	0.0831724366344828	902
scvi	0.0	Dissection Primary somatosensory cortex S1	class	0.9533240091882109	0.05965198001405592	902
scvi	0.0	Dissection Primary somatosensory cortex S1	family	0.9846424615476335	0.043075642858228944	902
scvi	0.0	Dissection Primary somatosensory cortex S1	subclass	0.9335677534310824	0.08212122110547931	902
scvi	0.0	Dissection Primary visual cortexV1	class	0.9520516034134904	0.05712542504999245	902
scvi	0.0	Dissection Primary visual cortexV1	family	0.9835325926275512	0.04230146036136156	902
scvi	0.0	Dissection Primary visual cortexV1	subclass	0.931313104709366	0.079596626024691	902
scvi	0.0	Human Multiple Cortical Areas SMART-seq	class	0.8952313191671943	0.07078516738266137	902
scvi	0.0	Human Multiple Cortical Areas SMART-seq	family	0.93280400617881	0.062127089316560344	902
scvi	0.0	Human Multiple Cortical Areas SMART-seq	subclass	0.8824697056510081	0.08181864688238877	902
scvi	0.0	Single-nucleus transcriptome data from the dlPFC	class	0.9564573677937545	0.05822254921716917	902
scvi	0.0	Single-nucleus transcriptome data from the dlPFC	family	0.9842347233605767	0.04223332339623423	902
scvi	0.0	Single-nucleus transcriptome data from the dlPFC	subclass	0.9265630608680072	0.08854920378259744	902
scvi	0.0	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	class	0.9545584306711887	0.057469259537215094	902
scvi	0.0	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	family	0.9847811014559252	0.04219462159585527	902
scvi	0.0	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	subclass	0.9353564364468262	0.08104950159244959	902
scvi	0.0	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	class	0.9550588870861928	0.056361526611781794	902
scvi	0.0	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	family	0.9851374506941929	0.04076969082324842	902
scvi	0.0	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	subclass	0.9363780465832924	0.0794864365731878	902
scvi	0.0	whole cortex	class	0.9559410659139463	0.057604903742979136	902
scvi	0.0	whole cortex	family	0.9846329825540883	0.04253164030039614	902
scvi	0.0	whole cortex	subclass	0.9294996687572608	0.08426169454609178	902
scvi	0.05	Dissection Angular gyrus AnG	class	0.9518450041665618	0.059160234414290316	902
scvi	0.05	Dissection Angular gyrus AnG	family	0.9850639531345824	0.04116846515037323	902
scvi	0.05	Dissection Angular gyrus AnG	subclass	0.9327187179258376	0.08096950412850676	902
scvi	0.05	Dissection Anterior cingulate cortex ACC	class	0.9530177145006837	0.05948800582971468	902
scvi	0.05	Dissection Anterior cingulate cortex ACC	family	0.9850857215897744	0.04287460563002916	902
scvi	0.05	Dissection Anterior cingulate cortex ACC	subclass	0.9329133388612514	0.08146881214208926	902
scvi	0.05	Dissection Dorsolateral prefrontal cortex DFC	class	0.9361754421204288	0.06804083887161451	902
scvi	0.05	Dissection Dorsolateral prefrontal cortex DFC	family	0.9675590142827744	0.05317242690691077	902
scvi	0.05	Dissection Dorsolateral prefrontal cortex DFC	subclass	0.9142504912282445	0.08749548467545222	902
scvi	0.05	Dissection Primary auditory cortexA1	class	0.9490049893808138	0.06176342978803822	902
scvi	0.05	Dissection Primary auditory cortexA1	family	0.9841974381817785	0.04322469434134731	902
scvi	0.05	Dissection Primary auditory cortexA1	subclass	0.9301282244047911	0.08317243663448297	902
scvi	0.05	Dissection Primary somatosensory cortex S1	class	0.9533240091882109	0.05965198001405592	902
scvi	0.05	Dissection Primary somatosensory cortex S1	family	0.9846424615476335	0.04307564285822891	902
scvi	0.05	Dissection Primary somatosensory cortex S1	subclass	0.9335677534310824	0.08212122110547927	902
scvi	0.05	Dissection Primary visual cortexV1	class	0.9520516034134904	0.057125425049992566	902
scvi	0.05	Dissection Primary visual cortexV1	family	0.9835325926275512	0.04230146036136148	902
scvi	0.05	Dissection Primary visual cortexV1	subclass	0.931313104709366	0.07959662602469098	902
scvi	0.05	Human Multiple Cortical Areas SMART-seq	class	0.8952313191671943	0.0707851673826612	902
scvi	0.05	Human Multiple Cortical Areas SMART-seq	family	0.93280400617881	0.06212708931656032	902
scvi	0.05	Human Multiple Cortical Areas SMART-seq	subclass	0.8824697056510081	0.08181864688238873	902
scvi	0.05	Single-nucleus transcriptome data from the dlPFC	class	0.9564573677937545	0.05822254921716906	902
scvi	0.05	Single-nucleus transcriptome data from the dlPFC	family	0.9842347233605767	0.04223332339623423	902
scvi	0.05	Single-nucleus transcriptome data from the dlPFC	subclass	0.9265630608680072	0.08854920378259745	902
scvi	0.05	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	class	0.9545584306711887	0.05746925953721517	902
scvi	0.05	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	family	0.9847811014559252	0.04219462159585527	902
scvi	0.05	Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD	subclass	0.9353564364468262	0.08104950159244949	902
scvi	0.05	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	class	0.9550588870861928	0.05636152661178181	902
scvi	0.05	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	family	0.9851374506941929	0.040769690823248446	902
scvi	0.05	Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD	subclass	0.9363780465832924	0.07948643657318769	902
scvi	0.05	whole cortex	class	0.9559410659139463	0.05760490374297917	902
scvi	0.05	whole cortex	family	0.9846329825540883	0.042531640300396106	902
scvi	0.05	whole cortex	subclass	0.9294996687572608	0.0842616945460919	902
scvi	0.1	Dissection Angular gyrus AnG	class	0.9518450041665618	0.05916023441429024	902
scvi	0.1	Dissection Angular gyrus AnG	family	0.9850639531345824	0.04116846515037326	902
scvi	0.1	Dissection Angular gyrus AnG	subclass	0.9327187179258376	0.08096950412850672	902
scvi	0.1	Dissection Anterior cingulate cortex ACC	class	0.9530177145006837	0.059488005829714634	902
scvi	0.1	Dissection Anterior cingulate cortex ACC	family	0.9850857215897744	0.04287460563002918	902
scvi	0.1	Dissection Anterior cingulate cortex ACC	subclass	0.9329133388612514	0.08146881214208934	902
scvi	0.1	Dissection Dorsolateral prefrontal cortex DFC	class	0.9361754421204288	0.06804083887161443	902
scvi	0.1	Dissection Dorsolateral prefrontal cortex DFC	family	0.9675590142827744	0.05317242690691079	902
scvi	0.1	Dissection Dorsolateral prefrontal cortex DFC	subclass	0.9142504912282445	0.08749548467545216	902
scvi	0.1	Dissection Primary auditory cortexA1	class	0.9490049893808138	0.061763429788038275	902
scvi	0.1	Dissection Primary auditory cortexA1	family	0.9841974381817785	0.043224694341347354	902
scvi	0.1	Dissection Primary auditory cortexA1	subclass	0.9301282244047911	0.0831724366344829	902
scvi	0.1	Dissection Primary somatosensory cortex S1	class	0.9533240091882109	0.05965198001405609	902
