"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	3.50663984833013	0.212413445328649	16.5085587821647	3.18396605174155e-61	1.59198302587078e-60	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	849733.202453467	-1699412.40490693	-1699151.11106566
"fixed"	"cond"	NA	"cutoff"	-0.18605890399482	0.020441271474958	-9.1021199059342	8.85855613263302e-20	2.76829879144782e-19	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	849733.202453467	-1699412.40490693	-1699151.11106566
"fixed"	"cond"	NA	"methodscvi"	0.414081756217614	0.0202470138642747	20.4514976377949	5.82588929299762e-93	4.85490774416469e-92	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	849733.202453467	-1699412.40490693	-1699151.11106566
"fixed"	"cond"	NA	"referenceDissection Anterior cingulate cortex ACC"	0.0299078447544795	0.0195209268079576	1.53209143442348	0.125499873171363	0.174305379404671	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	849733.202453467	-1699412.40490693	-1699151.11106566
"fixed"	"cond"	NA	"referenceDissection Dorsolateral prefrontal cortex DFC"	-0.304035773768377	0.0195175938710207	-15.5775233247271	1.03487304025637e-54	4.31197100106821e-54	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	849733.202453467	-1699412.40490693	-1699151.11106566
"fixed"	"cond"	NA	"referenceDissection Primary auditory cortexA1"	0.0203154225359345	0.0195174733924116	1.04088383406395	0.297929465366301	0.372411831707876	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	849733.202453467	-1699412.40490693	-1699151.11106566
"fixed"	"cond"	NA	"referenceDissection Primary somatosensory cortex S1"	-0.00966840514763388	0.0195188326783111	-0.495337262580113	0.620362072004433	0.689083628386726	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	849733.202453467	-1699412.40490693	-1699151.11106566
"fixed"	"cond"	NA	"referenceDissection Primary visual cortexV1"	0.00328239209155388	0.0195359041194682	0.168018437819976	0.866568773996594	0.866568773996594	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	849733.202453467	-1699412.40490693	-1699151.11106566
"fixed"	"cond"	NA	"referenceHuman Multiple Cortical Areas SMART-seq"	0.0468506398659247	0.0196055085847668	2.38966715213534	0.0168636481718046	0.028106080286341	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	849733.202453467	-1699412.40490693	-1699151.11106566
"fixed"	"cond"	NA	"referenceSingle-nucleus transcriptome data from the dlPFC"	0.036601018588219	0.0195129576810958	1.87572889699228	0.0606925158119112	0.0948320559561112	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"class"	849733.202453467	-1699412.40490693	-1699151.11106566
