"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.604198113395916	0.0485556609715053	0.506251570032487	0.694442016569
0.05	"seurat"	0.594898723668315	0.0488817179673855	0.496669777549919	0.686074223613979
0.1	"seurat"	0.585530724319879	0.0491897609795516	0.487059317572368	0.677610874169407
0.15	"seurat"	0.576100454654155	0.0494792376459198	0.477427279809567	0.669057060643969
0.2	"seurat"	0.566614432491143	0.0497496075473031	0.467780893592623	0.660418061137281
0.25	"seurat"	0.557079337009062	0.0500003439356938	0.458127506865328	0.651699324800999
0.5	"seurat"	0.508910471039581	0.0509422917403471	0.41001816546509	0.60711030519325
0.75	"seurat"	0.460575586869716	0.0513258858914249	0.362862893504461	0.561415416518847
0	"scvi"	0.584236220647793	0.0493141534051887	0.485566434479559	0.67658605118754
0.05	"scvi"	0.563509295468821	0.0498851809310154	0.464530224436155	0.657675227653909
0.1	"scvi"	0.542558119234028	0.0503002225842533	0.443589289967382	0.638278086920878
0.15	"scvi"	0.521455315208255	0.0505537481841164	0.422817004977131	0.618448451110962
0.2	"scvi"	0.500275653997411	0.0506423457191274	0.402284616249382	0.598245521139431
0.25	"scvi"	0.479095003521403	0.0505648205015393	0.382060279047083	0.577733240713756
0.5	"scvi"	0.37577374955962	0.0477976825714515	0.287627518766171	0.47299712710894
0.75	"scvi"	0.282644311222401	0.0418610365750879	0.20815787627366	0.371286921638474
