"effect"	"component"	"group"	"term"	"estimate"	"std.error"	"statistic"	"p.value"	"FDR"	"formula"	"key"	"LogLik"	"AIC"	"BIC"
"fixed"	"cond"	NA	"(Intercept)"	3.61056330807321	0.208687794668951	17.3012672533187	4.60154696179022e-67	2.30077348089511e-66	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"cutoff"	-0.508613816930361	0.0206110932393731	-24.6767025418508	1.90273409020748e-134	1.18920880637967e-133	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"methodscvi"	0.520053799641476	0.0201230382330942	25.8437018116975	2.8639364230831e-147	2.38661368590259e-146	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"referenceDissection Anterior cingulate cortex ACC"	-0.00618153503330909	0.0193615466206328	-0.319268659391171	0.749522796213449	0.749522796213449	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"referenceDissection Dorsolateral prefrontal cortex DFC"	-0.579265601044347	0.0193418500737311	-29.9488207610021	4.55824512476298e-197	5.69780640595373e-196	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"referenceDissection Primary auditory cortexA1"	-0.02293585278496	0.0193547985529678	-1.18502151919546	0.236008938721634	0.268191975820039	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"referenceDissection Primary somatosensory cortex S1"	-0.0712526109848417	0.0193484972276603	-3.68259147707762	0.000230874980772455	0.000524715865391943	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"referenceDissection Primary visual cortexV1"	-0.0300344352234889	0.0193511771179278	-1.55207277781896	0.120644810706678	0.167562237092609	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"referenceHuman Multiple Cortical Areas SMART-seq"	-0.0273522817470614	0.0193662186766706	-1.41237079905594	0.157840809866434	0.19978987343577	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"referenceSingle-nucleus transcriptome data from the dlPFC"	-0.0706550572796626	0.0193628336105153	-3.64900399915085	0.000263259006334588	0.000548456263197057	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"referencewhole cortex"	-0.24335917788514	0.0193347794362643	-12.5866022256605	2.50213827823808e-36	7.819182119494e-36	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"referenceWhole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	-0.013960183535069	0.0193582923115461	-0.721147470572214	0.470818786956956	0.511759551040169	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"referenceWhole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	-0.0500424217093101	0.0193468641097185	-2.58659085139138	0.00969306134254938	0.0142545019743373	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"subsample_ref50"	0.105435250991872	0.00675622163917345	15.6056530739821	6.66244652794276e-55	2.77601938664282e-54	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"cutoff:methodscvi"	-3.37694595872752	0.0282361993378788	-119.596335127063	0	0	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"methodscvi:referenceDissection Anterior cingulate cortex ACC"	-0.0143970679541948	0.0271085604303418	-0.531089357960913	0.59535685845021	0.620163394218968	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"methodscvi:referenceDissection Dorsolateral prefrontal cortex DFC"	-0.333228258279127	0.0266310476832938	-12.512773145165	6.35656474738175e-36	1.76571242982826e-35	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"methodscvi:referenceDissection Primary auditory cortexA1"	-0.0380573014214862	0.0270747692113471	-1.40563714964323	0.159831898748616	0.19978987343577	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"methodscvi:referenceDissection Primary somatosensory cortex S1"	0.0346902777875666	0.027108815419411	1.27966778521525	0.200661998984515	0.238883332124422	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"methodscvi:referenceDissection Primary visual cortexV1"	-0.0785490344079156	0.0270671891525219	-2.90200190220332	0.00370786288818658	0.00579353576279154	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"methodscvi:referenceHuman Multiple Cortical Areas SMART-seq"	-0.381410899446571	0.0268796906784275	-14.1895568669127	1.0632849263519e-45	3.79744616554251e-45	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"methodscvi:referenceSingle-nucleus transcriptome data from the dlPFC"	-0.0808963965234281	0.0270266391967007	-2.99320962309304	0.00276060066713563	0.00492964404845649	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"methodscvi:referencewhole cortex"	0.0932328431880087	0.0270016418960847	3.45285829457384	0.000554680303080104	0.00106669289053866	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"methodscvi:referenceWhole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	0.0803648452887153	0.0271458517382133	2.9604834677405	0.00307156606506879	0.00511927677511464	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"fixed"	"cond"	NA	"methodscvi:referenceWhole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	0.101164903964059	0.0271545561275521	3.72552228395342	0.000194911231954911	0.000487278079887277	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
"ran_pars"	"cond"	"study"	"sd__(Intercept)"	0.778562705944757	NA	NA	NA	NA	"f1_score ~ cutoff + method + reference + method:cutoff + method:reference + subsample_ref + (1 | study )"	"family"	817279.577996525	-1634505.15599305	-1634243.86215178
