"cutoff"	"method"	"fit"	"se"	"lower"	"upper"
0	"seurat"	0.542816089196292	0.0629252545655149	0.419385351455958	0.661204557279144
0.05	"seurat"	0.53361858170194	0.0630889860271827	0.410429529330136	0.652839717171903
0.1	"seurat"	0.524398162470432	0.0632144798902419	0.401524308767766	0.644387424852517
0.15	"seurat"	0.515161079673386	0.0633014180621231	0.392675287178175	0.635852218271211
0.2	"seurat"	0.505913626928721	0.0633495799243071	0.383887928385	0.627238827335206
0.25	"seurat"	0.496662126198324	0.0633588435515987	0.375167549538895	0.618552164495379
0.5	"seurat"	0.450564978108643	0.0628243676219622	0.332744703668772	0.574203114847709
0.75	"seurat"	0.405301158477536	0.0613555170178615	0.292690456503329	0.528843773806428
0	"scvi"	0.589354901027925	0.0613655568098324	0.466131323478342	0.702301362250928
0.05	"scvi"	0.572798489033609	0.0620319407469716	0.449277911833574	0.68786245494542
0.1	"scvi"	0.556077355781401	0.062568062946994	0.432531757885582	0.673056788548428
0.15	"scvi"	0.539228220059173	0.0629691857325027	0.415930052245896	0.657905818595848
0.2	"scvi"	0.52228895998022	0.0632317264478263	0.399508727281452	0.642433610473735
0.25	"scvi"	0.505298277905799	0.0633533255158662	0.383302155816384	0.626666738684161
0.5	"scvi"	0.42094106956007	0.0618538710349636	0.306552977328927	0.544497326941097
0.75	"scvi"	0.340960527260804	0.0571906458887219	0.239055391020433	0.460043346023017
