"reference"	"method"	"response"	"SE"	"df"	"asymp.LCL"	"asymp.UCL"
"Dissection Angular gyrus AnG"	"seurat"	0.607198618472038	0.0608090374080705	Inf	0.483967573770473	0.718140277110543
"Dissection Anterior cingulate cortex ACC"	"seurat"	0.601925904396745	0.0610926841363395	Inf	0.478456356332545	0.713658695184193
"Dissection Dorsolateral prefrontal cortex DFC"	"seurat"	0.196658865351263	0.0403091908210759	Inf	0.129274593463177	0.287567030517822
"Dissection Primary auditory cortexA1"	"seurat"	0.587634130372459	0.0617827580905114	Inf	0.463682763361692	0.701387192974802
"Dissection Primary somatosensory cortex S1"	"seurat"	0.577173416878575	0.0622242301438209	Inf	0.453000788550572	0.692304404893043
"Dissection Primary visual cortexV1"	"seurat"	0.589344879947245	0.0617033628090715	Inf	0.465444391688318	0.702860925821775
"Human Multiple Cortical Areas SMART-seq"	"seurat"	0.589319539056991	0.0617055716858225	Inf	0.465416215507308	0.70284084147344
"Single-nucleus transcriptome data from the dlPFC"	"seurat"	0.543614487244191	0.0632582083963261	Inf	0.419497818260051	0.662541386345239
"whole cortex"	"seurat"	0.500183528036036	0.0637497621714657	Inf	0.377762794929052	0.62258226105791
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.596257338961948	0.0613804479335175	Inf	0.472567489063944	0.708813739754155
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"seurat"	0.589311140557168	0.0617101656433289	Inf	0.465399096170192	0.702840717023454
"Dissection Angular gyrus AnG"	"scvi"	0.611182066108161	0.0605831180707482	Inf	0.488155770886369	0.721507807851894
"Dissection Anterior cingulate cortex ACC"	"scvi"	0.624468514127454	0.0597827924029311	Inf	0.502226703566303	0.732669758296542
"Dissection Dorsolateral prefrontal cortex DFC"	"scvi"	0.42997324601811	0.0625227019343121	Inf	0.313902717876744	0.554289058791467
"Dissection Primary auditory cortexA1"	"scvi"	0.603780080114489	0.0609815827771774	Inf	0.480417510426439	0.715215527339642
"Dissection Primary somatosensory cortex S1"	"scvi"	0.611634985714719	0.060552200179833	Inf	0.488642795078356	0.721882094111864
"Dissection Primary visual cortexV1"	"scvi"	0.631511301315317	0.0593241614110449	Inf	0.509760261801325	0.738534521046646
"Human Multiple Cortical Areas SMART-seq"	"scvi"	0.489296220160056	0.0637178389607207	Inf	0.367585433468252	0.612289445180106
"Single-nucleus transcriptome data from the dlPFC"	"scvi"	0.584548209366063	0.0619041658365014	Inf	0.460549030371162	0.698692192216966
"whole cortex"	"scvi"	0.597121570831987	0.0613196127395252	Inf	0.47349969269998	0.709523802093495
"Whole Taxonomy - DLPFC Seattle Alzheimers Disease Atlas SEA-AD"	"scvi"	0.633784581841087	0.0591675430269548	Inf	0.51221053069916	0.740414288505396
"Whole Taxonomy - MTG Seattle Alzheimers Disease Atlas SEA-AD"	"scvi"	0.624371628430856	0.05979067788017	Inf	0.502119790615438	0.732591681677082
